기온(°C),이용량_감소
0,-411.98131894632115
1,-418.8182722979756
2,-176.3836471677675
3,-90.40534875031965
4,-87.10876028367146
5,-56.63969258307211
6,-55.44989056795264
7,-44.81566497957815
8,-86.16573597649266
9,18.953948789422707
10,18.523177226026736
11,17.158311535687943
12,18.816630938750958
13,18.447677390932313
14,17.422806424769405
15,16.800563338170484
16,15.298073933943877
17,14.255023438447703
18,-10.10074176502244
19,65.58054191006292
20,62.560385374731084
21,56.6022534342805
22,52.53689821524376
23,49.016384417315074
24,45.938060758256654
25,43.821099432991375
26,41.890654524049
27,40.464589689187754
28,39.132422127403814
29,38.0367143078365
30,36.71497520061438
31,36.433634394479405
32,36.433634394479405
33,36.433634394479405
34,36.433634394479405
