지점,지점명,기준_날짜,평균기온,최저기온,최고기온,요일,주말,휴일,전체_건수,구간
108,서울,2023-04-03,19.0,11.3,25.9,0,0,0,16354,25
108,서울,2023-04-04,17.6,12.7,21.7,1,0,0,13309,20
108,서울,2023-04-05,11.9,8.7,14.9,2,0,0,2191,10
108,서울,2023-04-06,8.8,7.4,9.7,3,0,0,7303,5
108,서울,2023-04-07,8.9,4.6,15.7,4,0,0,14320,15
108,서울,2023-04-10,13.2,6.2,19.1,0,0,0,15414,15
108,서울,2023-04-11,13.1,9.2,17.4,1,0,0,11268,15
108,서울,2023-04-12,10.1,4.8,15.3,2,0,0,14632,15
108,서울,2023-04-13,11.9,5.1,17.2,3,0,0,15282,15
108,서울,2023-04-14,16.2,11.9,21.3,4,0,0,15929,20
108,서울,2023-04-17,13.1,6.8,18.1,0,0,0,15796,15
108,서울,2023-04-18,14.0,10.7,18.4,1,0,0,10225,15
108,서울,2023-04-19,19.1,11.5,28.4,2,0,0,17631,25
108,서울,2023-04-20,15.8,14.5,18.9,3,0,0,14994,15
108,서울,2023-04-21,16.7,11.4,22.8,4,0,0,17568,20
108,서울,2023-04-24,15.8,11.5,21.3,0,0,0,17071,20
108,서울,2023-04-25,10.9,9.0,13.2,1,0,0,11279,10
108,서울,2023-04-26,10.2,7.4,13.5,2,0,0,16106,10
108,서울,2023-04-27,12.9,5.1,20.0,3,0,0,17313,20
108,서울,2023-04-28,15.7,9.0,21.3,4,0,0,16783,20
108,서울,2023-05-01,14.6,9.8,20.8,0,0,0,14548,20
108,서울,2023-05-02,16.7,9.1,23.7,1,0,0,18444,20
108,서울,2023-05-03,19.5,12.4,26.2,2,0,0,19330,25
108,서울,2023-05-04,21.4,15.6,25.8,3,0,0,18824,25
108,서울,2023-05-08,15.3,7.9,22.0,0,0,0,18482,20
108,서울,2023-05-09,17.0,10.0,24.4,1,0,0,19289,20
108,서울,2023-05-10,18.4,10.7,26.0,2,0,0,19916,25
108,서울,2023-05-11,19.5,12.8,26.7,3,0,0,19433,25
108,서울,2023-05-12,18.4,13.1,24.7,4,0,0,19584,20
108,서울,2023-05-15,20.6,12.8,27.9,0,0,0,19961,25
