기준_날짜,전체_건수,요일,주말,휴일
2023-04-03,16354,0,0,0
2023-04-04,13309,1,0,0
2023-04-05,2191,2,0,0
2023-04-06,7303,3,0,0
2023-04-07,14320,4,0,0
2023-04-10,15414,0,0,0
2023-04-11,11268,1,0,0
2023-04-12,14632,2,0,0
2023-04-13,15282,3,0,0
2023-04-14,15929,4,0,0
2023-04-17,15796,0,0,0
2023-04-18,10225,1,0,0
2023-04-19,17631,2,0,0
2023-04-20,14994,3,0,0
2023-04-21,17568,4,0,0
2023-04-24,17071,0,0,0
2023-04-25,11279,1,0,0
2023-04-26,16106,2,0,0
2023-04-27,17313,3,0,0
2023-04-28,16783,4,0,0
2023-05-01,14548,0,0,0
2023-05-02,18444,1,0,0
2023-05-03,19330,2,0,0
2023-05-04,18824,3,0,0
2023-05-08,18482,0,0,0
2023-05-09,19289,1,0,0
2023-05-10,19916,2,0,0
2023-05-11,19433,3,0,0
2023-05-12,19584,4,0,0
2023-05-15,19961,0,0,0
2023-05-16,20104,1,0,0
2023-05-17,20844,2,0,0
2023-05-18,18846,3,0,0
2023-05-19,20822,4,0,0
2023-05-22,20090,0,0,0
2023-05-23,21020,1,0,0
2023-05-24,21168,2,0,0
2023-05-25,20600,3,0,0
2023-05-26,20395,4,0,0
2023-05-30,20339,1,0,0
2023-05-31,21123,2,0,0
2023-06-01,21398,3,0,0
2023-06-02,21011,4,0,0
2023-06-05,19482,0,0,0
2023-06-07,21155,2,0,0
2023-06-08,19373,3,0,0
2023-06-09,21030,4,0,0
2023-06-12,19836,0,0,0
2023-06-13,22172,1,0,0
2023-06-14,20145,2,0,0
2023-06-15,21974,3,0,0
2023-06-16,21849,4,0,0
2023-06-19,20845,0,0,0
2023-06-20,18153,1,0,0
2023-06-21,11768,2,0,0
2023-06-22,21816,3,0,0
2023-06-23,21916,4,0,0
2023-06-26,7569,0,0,0
2023-06-27,20612,1,0,0
2023-06-28,21385,2,0,0
2023-06-29,3807,3,0,0
2023-06-30,17682,4,0,0
2023-07-03,19857,0,0,0
2023-07-04,9247,1,0,0
2023-07-05,18718,2,0,0
2023-07-06,20926,3,0,0
2023-07-07,21015,4,0,0
2023-07-10,18237,0,0,0
2023-07-11,5911,1,0,0
2023-07-12,19293,2,0,0
2023-07-13,5287,3,0,0
2023-07-14,3852,4,0,0
2023-07-17,18410,0,0,0
