대여소_ID,대여_횟수,반납_횟수
ST-1062,14123,14993
ST-1063,16316,15583
ST-1064,22753,23091
ST-1065,39881,40238
ST-1067,11270,11012
ST-1069,14910,16421
ST-1249,20418,20565
ST-1250,3411,3281
ST-1251,27159,26971
ST-1252,2035,1523
ST-1253,13657,14149
ST-1254,15112,15349
ST-1338,6187,5062
ST-1351,21160,21181
ST-1352,17651,17685
ST-1402,8271,8199
ST-1506,10631,10667
ST-1507,3660,2326
ST-1508,3406,3359
ST-1509,8371,9193
ST-1510,15031,14413
ST-1511,6717,6608
ST-1512,7147,4985
ST-1514,10097,10281
ST-1515,4765,4641
ST-1517,13812,14013
ST-1518,1473,1783
ST-1519,15884,15763
ST-1520,2229,1568
ST-1645,16066,16639
ST-1646,7782,7645
ST-1647,5577,5789
ST-1676,4665,4808
ST-1688,16266,16598
ST-1689,16503,15388
ST-1694,7470,5257
ST-1695,1307,1302
ST-1708,2175,2377
ST-1709,12889,11904
ST-1710,11425,10188
ST-1711,2832,3650
ST-1712,13509,14700
ST-1713,2194,1974
ST-1714,11447,11354
ST-1715,6826,5763
ST-1718,48314,46840
ST-1727,9372,9532
ST-2018,3829,2719
ST-2020,15009,15549
ST-2022,5420,5490
ST-2023,9360,9156
ST-2024,15884,16036
ST-2025,4640,4547
ST-2026,5158,4693
ST-2027,5203,6478
ST-2028,3399,1127
ST-2029,10020,10055
ST-2031,70582,71066
ST-2032,3466,3564
ST-2033,23552,27644
ST-2034,10183,9525
ST-2035,19152,23095
ST-2036,15627,15613
ST-2037,24529,24655
ST-2040,15990,16924
ST-2041,9715,8610
ST-2042,4772,4374
ST-2044,13539,15912
ST-2045,45216,45064
ST-2046,10355,10827
ST-2047,12951,13136
ST-2048,6513,8149
ST-2049,9453,8304
ST-2050,15685,16361
ST-2052,10766,10738
ST-2054,4206,5067
ST-2056,17727,17635
ST-2057,11341,11537
ST-2058,9533,7379
ST-2059,12654,13138
ST-2399,1453,1428
ST-2411,14682,15052
ST-2412,8815,8250
ST-2419,8544,7990
ST-2476,3412,2638
ST-2477,7550,6864
ST-2478,1984,2288
ST-2479,5142,5401
ST-2480,3166,3103
ST-2481,8871,8754
ST-2482,13759,13543
ST-2483,5597,5481
ST-2484,2188,2362
ST-2486,7914,7609
ST-2487,16108,15600
ST-2488,570,703
ST-2489,7069,6864
ST-2490,6229,6284
ST-2491,10634,10266
ST-2492,1912,1838
ST-2494,2903,2973
ST-2538,12163,11961
ST-2539,1364,961
ST-2550,9508,10321
ST-2551,3553,3392
ST-2552,4482,4572
ST-2553,3606,3513
ST-2555,7692,7370
ST-2556,2783,2810
ST-2557,24597,24551
ST-2558,4839,3439
ST-2569,10387,10595
ST-2611,9015,8386
ST-2613,7433,7614
ST-2627,2518,2724
ST-2752,3362,2520
ST-2789,7925,8014
ST-2790,1920,1916
ST-2831,6662,6495
ST-2832,9344,9027
ST-2857,9324,8935
ST-2858,11251,7878
ST-2871,26339,26067
ST-2883,7598,8312
ST-2884,7989,7968
ST-2885,3187,3380
ST-2886,8828,8683
ST-2887,2295,3062
ST-2888,12371,12702
ST-2889,11067,10948
ST-2890,5228,4807
ST-2943,11983,12150
ST-2944,6543,6416
ST-2945,11025,13153
ST-2946,3148,3214
ST-2947,2491,2075
ST-2965,12608,12785
ST-2992,6111,5163
ST-2993,15543,15477
ST-2994,6338,5981
ST-3031,5174,4993
ST-3068,7073,7294
ST-3084,13920,14014
ST-3094,21467,24337
ST-3100,7424,6621
ST-3118,3325,3886
ST-3125,5131,4948
ST-3128,11529,12859
ST-3129,9600,9800
ST-3137,3535,4133
ST-3145,8080,8122
ST-3183,633,803
ST-3226,10825,10780
ST-3251,9914,12808
ST-3259,2418,2493
ST-3260,3286,3665
ST-3261,2297,2299
ST-3263,682,785
ST-3276,664,736
ST-3281,221,200
ST-3284,23,19
ST-507,1396,1551
ST-508,12929,13272
ST-509,1928,1606
ST-510,7130,7339
ST-511,4063,4185
ST-512,11043,11090
ST-513,21318,21428
ST-514,10903,10776
ST-516,14212,16068
ST-517,6581,6455
ST-518,6986,6817
ST-519,5265,5286
ST-520,6635,6928
ST-522,20998,20905
ST-523,9038,5682
ST-524,5305,5232
ST-525,9677,9789
ST-526,2635,2155
ST-528,9236,9678
ST-530,8654,7815
ST-531,2427,1430
ST-532,1104,867
ST-533,2033,2574
ST-534,2503,2701
ST-535,2303,2320
ST-536,944,1318
ST-538,5681,5153
ST-824,15304,16157
ST-828,7205,7253
ST-829,6274,5608
ST-831,12772,12399
ST-834,18972,19233
ST-835,19074,20177
ST-975,19946,19954
