"기준_날짜","기준_시간대","시작_대여소_ID","종료_대여소_ID","전체_건수","전체_이용_분","전체_이용_거리"
"20230121","0000","ST-1065","ST-1065","1","0","0"
"20230121","0000","ST-1674","ST-1674","1","1","0"
"20230121","0000","ST-1996","ST-1996","1","0","0"
"20230121","0000","ST-20","ST-20","1","1","0"
"20230121","0000","ST-2487","ST-2487","1","0","0"
"20230121","0000","ST-924","ST-924","1","0","0"
"20230121","0005","ST-1040","ST-1040","1","0","0"
"20230121","0005","ST-1590","ST-1590","1","0","0"
"20230121","0005","ST-2091","ST-2091","1","0","0"
"20230121","0005","ST-2711","ST-2711","1","0","20"
"20230121","0005","ST-2935","ST-2935","1","0","0"
"20230121","0005","ST-3121","ST-3121","1","0","0"
"20230121","0005","ST-664","ST-664","1","0","0"
"20230121","0005","ST-735","ST-735","1","0","0"
"20230121","0010","ST-2045","ST-2045","1","0","0"
"20230121","0010","ST-274","ST-274","1","0","0"
"20230121","0010","ST-281","ST-281","1","0","0"
"20230121","0010","ST-3060","ST-3060","1","0","0"
"20230121","0010","ST-426","ST-426","1","0","0"
"20230121","0010","ST-924","ST-924","1","0","0"
"20230121","0015","ST-2130","ST-2130","1","1","0"
"20230121","0020","ST-753","ST-753","1","0","0"
"20230121","0025","ST-1014","ST-1014","1","0","0"
"20230121","0025","ST-1083","ST-1083","1","0","0"
"20230121","0025","ST-1098","ST-1098","1","0","0"
"20230121","0025","ST-2147","ST-2147","1","0","0"
"20230121","0025","ST-2309","ST-2309","1","0","0"
"20230121","0025","ST-2688","ST-2688","3","0","0"
"20230121","0025","ST-2697","ST-2697","1","0","0"
"20230121","0025","ST-610","ST-610","1","0","0"
"20230121","0025","ST-913","ST-913","1","0","0"
"20230121","0030","ST-1818","ST-1818","1","0","0"
"20230121","0030","ST-2375","ST-2375","1","1","80"
"20230121","0035","ST-187","ST-187","1","0","0"
"20230121","0035","ST-2481","ST-2481","1","0","0"
"20230121","0035","ST-2920","ST-2920","1","0","0"
"20230121","0035","ST-563","ST-563","1","0","0"
"20230121","0035","ST-664","ST-664","1","0","88"
"20230121","0040","ST-1838","ST-1838","1","0","0"
"20230121","0040","ST-2842","ST-2842","1","1","60"
"20230121","0040","ST-289","ST-289","1","0","0"
"20230121","0045","ST-1098","ST-1098","2","0","0"
"20230121","0045","ST-1271","ST-1271","1","0","0"
"20230121","0045","ST-349","ST-349","1","1","0"
"20230121","0045","ST-486","ST-486","1","0","0"
"20230121","0045","ST-702","ST-702","1","0","0"
"20230121","0050","ST-1782","ST-1782","1","0","111"
"20230121","0050","ST-1786","ST-1786","1","1","50"
"20230121","0055","ST-1271","ST-1271","1","0","0"
"20230121","0055","ST-1734","ST-1734","1","1","0"
"20230121","0055","ST-889","ST-889","1","1","0"
"20230121","0055","ST-93","ST-93","1","1","0"
"20230121","0100","ST-1013","ST-1013","1","0","0"
"20230121","0100","ST-1181","ST-1181","1","0","111"
"20230121","0100","ST-1868","ST-1868","1","0","0"
"20230121","0100","ST-245","ST-245","1","0","0"
"20230121","0100","ST-2815","ST-2815","1","0","0"
"20230121","0105","ST-1017","ST-1017","1","0","0"
"20230121","0105","ST-2054","ST-2054","1","0","0"
"20230121","0105","ST-39","ST-39","1","0","0"
"20230121","0105","ST-428","ST-428","1","0","0"
"20230121","0105","ST-948","ST-948","1","0","0"
"20230121","0110","ST-1409","ST-1409","1","0","0"
"20230121","0110","ST-1496","ST-1496","1","1","0"
"20230121","0110","ST-1908","ST-1908","1","0","0"
"20230121","0110","ST-2557","ST-2557","1","0","0"
"20230121","0110","ST-2654","ST-2654","1","0","30"
"20230121","0110","ST-626","ST-626","1","0","0"
"20230121","0115","ST-1818","ST-1818","1","0","0"
"20230121","0115","ST-546","ST-546","1","0","0"
"20230121","0115","ST-923","ST-923","1","0","0"
"20230121","0120","ST-2711","ST-2711","1","0","0"
"20230121","0120","ST-3094","ST-3094","1","0","0"
"20230121","0120","ST-572","ST-572","2","1","0"
"20230121","0125","ST-1822","ST-1822","1","0","0"
"20230121","0125","ST-463","ST-463","1","0","0"
"20230121","0130","ST-1777","ST-1777","1","0","0"
"20230121","0130","ST-2933","ST-2933","1","1","0"
"20230121","0130","ST-30","ST-30","1","0","0"
"20230121","0130","ST-372","ST-372","1","1","0"
"20230121","0135","ST-1165","ST-1165","1","0","0"
"20230121","0135","ST-2382","ST-2382","1","0","0"
"20230121","0135","ST-571","ST-571","1","0","0"
"20230121","0140","ST-111","ST-111","1","0","0"
"20230121","0140","ST-1731","ST-1731","1","0","0"
"20230121","0140","ST-2736","ST-2736","1","0","0"
"20230121","0140","ST-724","ST-724","1","0","0"
"20230121","0140","ST-957","ST-957","1","0","0"
"20230121","0140","ST-975","ST-975","1","0","0"
"20230121","0145","ST-1083","ST-1083","1","1","111"
"20230121","0145","ST-1866","ST-1866","1","0","0"
"20230121","0145","ST-2094","ST-2094","1","0","0"
"20230121","0145","ST-2696","ST-2696","1","1","0"
"20230121","0150","ST-1132","ST-1132","1","0","0"
"20230121","0150","ST-702","ST-702","1","1","0"
"20230121","0200","ST-1288","ST-1288","1","0","0"
"20230121","0200","ST-372","ST-372","1","0","0"
"20230121","0200","ST-971","ST-971","1","0","0"
"20230121","0210","ST-1440","ST-1440","1","0","142"
"20230121","0210","ST-241","ST-241","1","0","0"
"20230121","0210","ST-3187","ST-3187","1","0","0"
"20230121","0210","ST-687","ST-687","1","0","0"
"20230121","0215","ST-1621","ST-1621","1","0","0"
"20230121","0215","ST-1938","ST-1938","1","0","0"
"20230121","0215","ST-2473","ST-2473","1","0","0"
"20230121","0215","ST-400","ST-400","1","0","88"
"20230121","0220","ST-1291","ST-1291","1","1","111"
"20230121","0220","ST-2047","ST-2047","1","0","0"
"20230121","0220","ST-2160","ST-2160","1","0","0"
"20230121","0225","ST-2718","ST-2718","1","1","0"
"20230121","0230","ST-1510","ST-1510","1","0","1769"
"20230121","0240","ST-1866","ST-1866","1","0","0"
"20230121","0240","ST-1916","ST-1916","1","0","0"
"20230121","0240","ST-821","ST-821","1","0","0"
"20230121","0245","ST-1364","ST-1364","1","0","0"
"20230121","0245","ST-1818","ST-1818","1","1","0"
"20230121","0245","ST-612","ST-612","1","1","0"
"20230121","0245","ST-821","ST-821","1","0","40"
"20230121","0250","ST-1276","ST-1276","1","1","160"
"20230121","0250","ST-2486","ST-2486","1","0","0"
"20230121","0255","ST-687","ST-687","1","0","0"
"20230121","0300","ST-235","ST-235","1","0","0"
"20230121","0300","ST-687","ST-687","1","0","0"
"20230121","0300","ST-849","ST-849","1","1","0"
"20230121","0305","ST-1922","ST-1922","1","0","0"
"20230121","0305","ST-66","ST-66","1","1","130"
"20230121","0310","ST-2793","ST-2793","1","0","0"
"20230121","0315","ST-1717","ST-1717","1","0","0"
"20230121","0315","ST-2269","ST-2269","1","0","0"
"20230121","0325","ST-1641","ST-1641","1","0","0"
"20230121","0325","ST-494","ST-494","1","0","0"
"20230121","0325","ST-650","ST-650","1","0","0"
"20230121","0330","ST-522","ST-522","1","0","0"
"20230121","0335","ST-249","ST-249","1","0","0"
"20230121","0335","ST-2689","ST-2689","1","0","0"
"20230121","0340","ST-1075","ST-1075","1","0","0"
"20230121","0340","ST-400","ST-400","1","0","0"
"20230121","0345","ST-1329","ST-1329","1","0","0"
"20230121","0350","ST-1329","ST-1329","2","1","60"
