"기준_날짜","집계_기준","기준_시간대","시작_대여소_ID","시작_대여소명","종료_대여소_ID","종료_대여소명","전체_건수","전체_이용_분","전체_이용_거리"
"20230810","출발시간","0005","ST-2768","신월2동_036_1","ST-2768","신월2동_036_1","2","0","0"
"20230810","출발시간","0005","ST-2858","공항동_001_6","ST-2858","공항동_001_6","1","0","0"
"20230810","출발시간","0005","ST-418","당산1동_001_2","ST-418","당산1동_001_2","1","0","0"
"20230810","출발시간","0010","ST-1874","오륜동_041_1","ST-1874","오륜동_041_1","1","1","190"
"20230810","출발시간","0010","ST-2765","신정7동_028_1","ST-2765","신정7동_028_1","1","0","88"
"20230810","출발시간","0010","ST-2774","목5동_049_1","ST-2774","목5동_049_1","1","0","0"
"20230810","출발시간","0010","ST-690","상도2동_052_1","ST-690","상도2동_052_1","1","0","0"
"20230810","출발시간","0015","ST-2184","이촌1동_045_1","ST-2184","이촌1동_045_1","1","0","0"
"20230810","출발시간","0020","ST-1018","목5동_080_1","ST-1018","목5동_080_1","1","0","0"
"20230810","출발시간","0020","ST-1709","가양1동_039_5","ST-1709","가양1동_039_5","2","0","0"
"20230810","출발시간","0020","ST-2487","등촌1동_024_1","ST-2487","등촌1동_024_1","1","0","0"
"20230810","출발시간","0020","ST-2760","신정2동_006_1","ST-2760","신정2동_006_1","1","1","0"
"20230810","출발시간","0020","ST-454","대조동_024_1","ST-454","대조동_024_1","1","0","0"
"20230810","출발시간","0020","ST-508","방화1동_008_1","ST-508","방화1동_008_1","1","0","0"
"20230810","출발시간","0025","ST-1625","회기동_002_1","ST-1625","회기동_002_1","1","0","0"
"20230810","출발시간","0025","ST-2210","연희동_041_1","ST-2210","연희동_041_1","1","0","0"
"20230810","출발시간","0025","ST-525","우장산동_065_1","ST-525","우장산동_065_1","1","0","0"
"20230810","출발시간","0035","ST-2353","대방동_015_2","ST-2353","대방동_015_2","1","1","0"
"20230810","출발시간","0040","ST-1236","신도림동_062_1","ST-1236","신도림동_062_1","1","0","0"
"20230810","출발시간","0040","ST-2425","신사1동_036_1","ST-2425","신사1동_036_1","1","1","0"
"20230810","출발시간","0040","ST-566","중화2동_038_2","ST-566","중화2동_038_2","1","0","0"
"20230810","출발시간","0045","ST-2541","능동_002_4","ST-2541","능동_002_4","1","0","0"
"20230810","출발시간","0050","ST-1213","장위3동_011_1","ST-1213","장위3동_011_1","1","0","0"
"20230810","출발시간","0050","ST-2518","명동_001_7","ST-2518","명동_001_7","1","0","0"
"20230810","출발시간","0050","ST-2920","양평2동_005_1","ST-2920","양평2동_005_1","1","0","0"
"20230810","출발시간","0055","ST-1378","구의1동_005_1","ST-1378","구의1동_005_1","1","0","0"
"20230810","출발시간","0105","ST-2543","군자동_014_1","ST-2543","군자동_014_1","1","0","0"
"20230810","출발시간","0105","ST-796","청담동_003_1","ST-796","청담동_003_1","1","0","0"
"20230810","출발시간","0115","ST-17","홍은2동_001_1","ST-17","홍은2동_001_1","1","0","0"
"20230810","출발시간","0115","ST-454","대조동_024_1","ST-454","대조동_024_1","1","0","0"
"20230810","출발시간","0120","ST-1421","암사3동_004_1","ST-1421","암사3동_004_1","1","1","140"
"20230810","출발시간","0120","ST-2074","월계1동_024_1","ST-2074","월계1동_024_1","1","1","0"
"20230810","출발시간","0120","ST-2146","용강동_019_1","ST-2146","용강동_019_1","1","0","0"
"20230810","출발시간","0120","ST-2943","가양1동_037_5","ST-2943","가양1동_037_5","1","0","0"
"20230810","출발시간","0120","ST-454","대조동_024_1","ST-454","대조동_024_1","1","0","0"
"20230810","출발시간","0125","ST-1095","면목4동_032_1","ST-1095","면목4동_032_1","1","0","0"
"20230810","출발시간","0130","ST-821","개포4동_023_1","ST-821","개포4동_023_1","1","1","0"
"20230810","출발시간","0135","ST-1044","둔촌2동_001_1","ST-1044","둔촌2동_001_1","1","1","0"
"20230810","출발시간","0135","ST-1070","송파1동_010_1","ST-1070","송파1동_010_1","1","0","0"
"20230810","출발시간","0140","ST-1661","자양4동_005_1","ST-1661","자양4동_005_1","1","0","0"
"20230810","출발시간","0145","ST-2996","신사동_020_1","ST-2996","신사동_020_1","1","0","0"
"20230810","출발시간","0150","ST-1326","한강로동_006_1","ST-1326","한강로동_006_1","1","0","0"
"20230810","출발시간","0150","ST-2415","반포1동_037_1","ST-2415","반포1동_037_1","1","0","0"
"20230810","출발시간","0155","ST-1780","광희동_001_2","ST-1780","광희동_001_2","1","0","0"
"20230810","출발시간","0155","ST-1817","혜화동_004_1","ST-1817","혜화동_004_1","1","0","0"
"20230810","출발시간","0155","ST-665","구로1동_029_1","ST-665","구로1동_029_1","1","0","0"
"20230810","출발시간","0205","ST-3104","목1동_016_2","ST-3104","목1동_016_2","1","0","0"
"20230810","출발시간","0210","ST-70","여의동_016_1","ST-70","여의동_016_1","1","0","0"
"20230810","출발시간","0230","ST-365","금호4가동_006_1","ST-365","금호4가동_006_1","1","0","0"
"20230810","출발시간","0235","ST-1920","반포2동_038_1","ST-1920","반포2동_038_1","1","0","0"
"20230810","출발시간","0235","ST-2606","가락1동_001_9","ST-2606","가락1동_001_9","1","0","0"
"20230810","출발시간","0235","ST-2654","신대방2동_019_1","ST-2654","신대방2동_019_1","1","0","0"
"20230810","출발시간","0235","ST-96","상암동_060_1","ST-96","상암동_060_1","1","0","0"
"20230810","출발시간","0240","ST-304","도림동_035_1","ST-304","도림동_035_1","1","0","0"
"20230810","출발시간","0240","ST-838","가락본동_025_2","ST-838","가락본동_025_2","1","0","0"
"20230810","출발시간","0250","ST-673","구로5동_005_1","ST-673","구로5동_005_1","1","0","0"
"20230810","출발시간","0250","ST-729","사당1동_009_1","ST-729","사당1동_009_1","1","0","70"
"20230810","출발시간","0300","ST-1780","광희동_001_2","ST-1780","광희동_001_2","1","0","0"
"20230810","출발시간","0300","ST-3121","성수2가3동_002_1","ST-3121","성수2가3동_002_1","1","0","0"
"20230810","출발시간","0300","ST-933","잠실본동_035_1","ST-933","잠실본동_035_1","1","0","0"
"20230810","출발시간","0305","ST-1899","반포1동_045_1","ST-1899","반포1동_045_1","1","0","0"
"20230810","출발시간","0305","ST-2879","신정2동_017_1","ST-2879","신정2동_017_1","1","1","0"
"20230810","출발시간","0305","ST-3190","_67","ST-3190","_67","1","0","0"
"20230810","출발시간","0315","ST-1632","용신동_025_1","ST-1632","용신동_025_1","1","0","30"
"20230810","출발시간","0320","ST-2295","상봉1동_013_1","ST-2295","상봉1동_013_1","1","0","0"
"20230810","출발시간","0320","ST-400","청량리동_040_1","ST-400","청량리동_040_1","1","0","0"
"20230810","출발시간","0320","ST-487","천호2동_056_2","ST-487","천호2동_056_2","1","0","0"
"20230810","출발시간","0325","ST-2288","신내1동_003_1","ST-2288","신내1동_003_1","1","0","0"
"20230810","출발시간","0325","ST-866","월계3동_009_1","ST-866","월계3동_009_1","1","0","0"
"20230810","출발시간","0325","ST-872","수궁동_048_3","ST-872","수궁동_048_3","1","0","0"
"20230810","출발시간","0330","ST-1855","문정1동_023_1","ST-1855","문정1동_023_1","1","0","0"
"20230810","출발시간","0330","ST-2040","가양1동_040_3","ST-2040","가양1동_040_3","1","0","0"
"20230810","출발시간","0340","ST-278","양평2동_039_1","ST-278","양평2동_039_1","1","0","0"
"20230810","출발시간","0345","ST-1670","회현동_012_1","ST-1670","회현동_012_1","1","0","0"
"20230810","출발시간","0355","ST-32","서교동_028_1","ST-32","서교동_028_1","1","0","0"
"20230810","출발시간","0400","ST-2654","신대방2동_019_1","ST-2654","신대방2동_019_1","1","0","0"
"20230810","출발시간","0440","ST-652","인수동_034_1","ST-652","인수동_034_1","1","0","0"
"20230810","출발시간","0450","ST-2026","가양1동_003_1","ST-2026","가양1동_003_1","1","0","0"
"20230810","출발시간","0450","ST-2077","상계5동_055_1","ST-2077","상계5동_055_1","1","0","0"
"20230810","출발시간","0455","ST-309","목4동_040_1","ST-309","목4동_040_1","1","0","0"
"20230810","출발시간","0515","ST-2866","원효로2동_027_4","ST-2866","원효로2동_027_4","1","0","0"
"20230810","출발시간","0520","ST-1510","등촌1동_001_1","ST-1510","등촌1동_001_1","1","0","0"
"20230810","출발시간","0525","ST-2283","상봉2동_033_1","ST-2283","상봉2동_033_1","1","0","0"
"20230810","출발시간","0535","ST-1535","독산1동_004_1","ST-1535","독산1동_004_1","1","0","0"
"20230810","출발시간","0540","ST-1226","고척1동_024_1","ST-1226","고척1동_024_1","1","0","0"
"20230810","출발시간","0540","ST-2040","가양1동_040_3","ST-2040","가양1동_040_3","1","0","0"
"20230810","출발시간","0540","ST-2676","세곡동_007_1","ST-2676","세곡동_007_1","2","0","0"
"20230810","출발시간","0545","ST-1288","월계2동_048_1","ST-1288","월계2동_048_1","1","0","0"
"20230810","출발시간","0545","ST-2031","가양1동_039_8","ST-2031","가양1동_039_8","1","0","0"
"20230810","출발시간","0545","ST-2487","등촌1동_024_1","ST-2487","등촌1동_024_1","1","0","0"
"20230810","출발시간","0545","ST-639","독산1동_026_1","ST-639","독산1동_026_1","1","0","0"
"20230810","출발시간","0555","ST-341","연남동_016_1","ST-341","연남동_016_1","1","0","0"
"20230810","출발시간","0600","ST-1067","가양2동_001_1","ST-1067","가양2동_001_1","1","0","0"
"20230810","출발시간","0605","ST-1968","영등포동_006_1","ST-1968","영등포동_006_1","1","0","0"
"20230810","출발시간","0605","ST-222","북가좌1동_028_1","ST-222","북가좌1동_028_1","1","0","0"
"20230810","출발시간","0605","ST-2557","화곡6동_022_1","ST-2557","화곡6동_022_1","1","0","0"
"20230810","출발시간","0605","ST-2638","시흥1동_031_1","ST-2638","시흥1동_031_1","1","0","0"
"20230810","출발시간","0610","ST-1540","구로5동_049_1","ST-1540","구로5동_049_1","1","0","0"
"20230810","출발시간","0610","ST-1629","전농1동_038_1","ST-1629","전농1동_038_1","1","0","0"
"20230810","출발시간","0610","ST-222","북가좌1동_028_1","ST-222","북가좌1동_028_1","1","0","0"
"20230810","출발시간","0620","ST-1793","가락1동_001_2","ST-1793","가락1동_001_2","1","0","0"
"20230810","출발시간","0620","ST-2353","대방동_015_2","ST-2353","대방동_015_2","1","0","0"
"20230810","출발시간","0620","ST-2586","마천2동_019_1","ST-2586","마천2동_019_1","1","1","110"
"20230810","출발시간","0620","ST-297","여의동_004_1","ST-297","여의동_004_1","1","0","111"
"20230810","출발시간","0620","ST-941","평창동_012_1","ST-941","평창동_012_1","1","0","0"
"20230810","출발시간","0630","ST-1219","구로1동_001_1","ST-1219","구로1동_001_1","1","0","0"
"20230810","출발시간","0630","ST-1929","반포4동_019_1","ST-1929","반포4동_019_1","1","0","0"
"20230810","출발시간","0630","ST-2419","발산1동_066_1","ST-2419","발산1동_066_1","1","0","0"
"20230810","출발시간","0630","ST-849","면목3·8동_050_1","ST-849","면목3·8동_050_1","1","0","0"
"20230810","출발시간","0635","ST-1105","송중동_049_1","ST-1105","송중동_049_1","1","0","0"
"20230810","출발시간","0635","ST-528","등촌2동_002_1","ST-528","등촌2동_002_1","1","0","0"
"20230810","출발시간","0635","ST-831","방화3동_005_1","ST-831","방화3동_005_1","1","0","0"
"20230810","출발시간","0635","ST-997","목4동_021_1","ST-997","목4동_021_1","1","0","0"
"20230810","출발시간","0640","ST-278","양평2동_039_1","ST-278","양평2동_039_1","1","0","10"
