기준_날짜,기준_시간대,시작_대여소_ID,종료_대여소_ID,전체_건수,전체_이용_분,전체_이용_거리,요일,시간대_구간,한시간_구간
2023-02-13,735,ST-511,ST-1062,1,1,220,0,06:00~10:00,07:00~08:00
2023-02-13,735,ST-511,ST-1062,1,1,220,0,06:00~10:00,07:00~08:00
2023-02-13,1420,ST-511,ST-1249,1,42,4690,0,10:00~17:00,14:00~15:00
2023-02-13,1505,ST-511,ST-1249,1,42,4690,0,10:00~17:00,15:00~16:00
2023-02-13,900,ST-511,ST-1254,1,7,1690,0,06:00~10:00,09:00~10:00
2023-02-13,905,ST-511,ST-1254,1,7,1690,0,06:00~10:00,09:00~10:00
2023-02-13,620,ST-511,ST-1254,1,7,1258,0,06:00~10:00,06:00~07:00
2023-02-13,630,ST-511,ST-1254,1,7,1258,0,06:00~10:00,06:00~07:00
2023-02-13,635,ST-511,ST-1517,1,10,2033,0,06:00~10:00,06:00~07:00
2023-02-13,625,ST-511,ST-1517,1,10,2033,0,06:00~10:00,06:00~07:00
2023-02-13,1945,ST-511,ST-1645,1,7,887,0,17:00~21:00,19:00~20:00
2023-02-13,1510,ST-511,ST-1645,1,7,907,0,10:00~17:00,15:00~16:00
2023-02-13,1500,ST-511,ST-1645,1,7,907,0,10:00~17:00,15:00~16:00
2023-02-13,1935,ST-511,ST-1645,1,7,887,0,17:00~21:00,19:00~20:00
2023-02-13,855,ST-511,ST-1647,1,7,1078,0,06:00~10:00,08:00~09:00
2023-02-13,905,ST-511,ST-1647,1,7,1078,0,06:00~10:00,09:00~10:00
2023-02-13,905,ST-511,ST-1688,1,11,2215,0,06:00~10:00,09:00~10:00
2023-02-13,850,ST-511,ST-1688,1,11,2215,0,06:00~10:00,08:00~09:00
2023-02-13,2135,ST-511,ST-1689,1,9,1680,0,20:00~24:00,21:00~22:00
2023-02-13,2125,ST-511,ST-1689,1,9,1680,0,20:00~24:00,21:00~22:00
2023-02-13,820,ST-511,ST-1715,1,10,1560,0,06:00~10:00,08:00~09:00
2023-02-13,830,ST-511,ST-1715,1,10,1560,0,06:00~10:00,08:00~09:00
2023-02-13,1420,ST-511,ST-1727,1,10,1150,0,10:00~17:00,14:00~15:00
2023-02-13,1410,ST-511,ST-1727,1,10,1150,0,10:00~17:00,14:00~15:00
2023-02-13,815,ST-511,ST-2033,1,12,2431,0,06:00~10:00,08:00~09:00
2023-02-13,805,ST-511,ST-2033,1,12,2431,0,06:00~10:00,08:00~09:00
2023-02-13,800,ST-511,ST-2035,1,12,1805,0,06:00~10:00,08:00~09:00
2023-02-13,745,ST-511,ST-2035,1,12,1805,0,06:00~10:00,07:00~08:00
2023-02-13,1905,ST-511,ST-2036,1,8,1880,0,17:00~21:00,19:00~20:00
2023-02-13,1900,ST-511,ST-2036,1,8,1880,0,17:00~21:00,19:00~20:00
2023-02-13,1410,ST-511,ST-2036,1,12,1968,0,10:00~17:00,14:00~15:00
2023-02-13,1400,ST-511,ST-2036,1,12,1968,0,10:00~17:00,14:00~15:00
2023-02-13,755,ST-511,ST-2627,1,5,979,0,06:00~10:00,07:00~08:00
2023-02-13,750,ST-511,ST-2627,1,5,979,0,06:00~10:00,07:00~08:00
2023-02-13,1825,ST-511,ST-2883,1,5,1390,0,17:00~21:00,18:00~19:00
2023-02-13,1830,ST-511,ST-2883,1,5,1390,0,17:00~21:00,18:00~19:00
2023-02-13,1325,ST-511,ST-2885,1,9,1740,0,10:00~17:00,13:00~14:00
2023-02-13,1315,ST-511,ST-2885,1,9,1740,0,10:00~17:00,13:00~14:00
2023-02-13,900,ST-511,ST-2889,1,7,1239,0,06:00~10:00,09:00~10:00
2023-02-13,905,ST-511,ST-2889,1,7,1239,0,06:00~10:00,09:00~10:00
2023-02-13,840,ST-511,ST-2945,1,11,2185,0,06:00~10:00,08:00~09:00
2023-02-13,830,ST-511,ST-2945,1,11,2185,0,06:00~10:00,08:00~09:00
2023-02-13,2140,ST-511,ST-508,2,56,3302,0,20:00~24:00,21:00~22:00
2023-02-13,2110,ST-511,ST-508,2,56,3302,0,20:00~24:00,21:00~22:00
2023-02-13,1700,ST-511,ST-510,1,8,585,0,17:00~21:00,17:00~18:00
2023-02-13,1655,ST-511,ST-510,1,8,585,0,17:00~21:00,16:00~17:00
2023-02-13,1825,ST-511,ST-510,1,28,2689,0,17:00~21:00,18:00~19:00
2023-02-13,1755,ST-511,ST-510,1,28,2689,0,17:00~21:00,17:00~18:00
2023-02-13,2120,ST-511,ST-511,1,15,2050,0,20:00~24:00,21:00~22:00
2023-02-13,2135,ST-511,ST-511,1,15,2050,0,20:00~24:00,21:00~22:00
