,기준_날짜,기준_시간대,시작_대여소_ID,종료_대여소_ID,전체_건수
0,20230101.0,0,ST-1590,ST-1590,1
1,20230101.0,0,ST-2127,ST-2127,1
2,20230101.0,5,ST-1286,ST-1286,1
3,20230101.0,5,ST-1780,ST-1780,1
4,20230101.0,5,ST-2018,ST-2018,2
5,20230101.0,5,ST-2431,ST-2431,1
6,20230101.0,5,ST-869,ST-869,2
7,20230101.0,10,ST-1137,ST-1137,1
8,20230101.0,10,ST-144,ST-144,1
9,20230101.0,10,ST-1681,ST-1681,1
10,20230101.0,10,ST-1855,ST-1855,1
11,20230101.0,10,ST-2464,ST-2464,2
12,20230101.0,10,ST-538,ST-538,1
13,20230101.0,15,ST-1646,ST-1646,1
14,20230101.0,15,ST-3056,ST-3056,1
15,20230101.0,25,ST-1251,ST-1251,1
16,20230101.0,25,ST-1699,ST-1699,1
17,20230101.0,25,ST-2970,ST-2970,1
18,20230101.0,30,ST-1474,ST-1474,2
19,20230101.0,30,ST-1699,ST-1699,1
20,20230101.0,30,ST-2654,ST-2654,1
21,20230101.0,30,ST-442,ST-442,2
22,20230101.0,35,ST-1546,ST-1546,1
23,20230101.0,35,ST-1697,ST-1697,1
24,20230101.0,35,ST-1874,ST-1874,1
25,20230101.0,35,ST-1922,ST-1922,1
26,20230101.0,35,ST-2486,ST-2486,1
27,20230101.0,35,ST-2696,ST-2696,1
28,20230101.0,35,ST-2786,ST-2786,1
29,20230101.0,35,ST-350,ST-350,1
30,20230101.0,35,ST-908,ST-908,1
31,20230101.0,40,ST-1065,ST-1065,1
32,20230101.0,40,ST-1878,ST-1878,1
33,20230101.0,40,ST-1933,ST-1933,1
34,20230101.0,40,ST-2150,ST-2150,1
35,20230101.0,45,ST-1409,ST-1409,1
36,20230101.0,45,ST-1688,ST-1688,1
37,20230101.0,45,ST-2531,ST-2531,1
38,20230101.0,45,ST-2718,ST-2718,1
39,20230101.0,45,ST-824,ST-824,1
40,20230101.0,50,ST-1065,ST-1065,1
41,20230101.0,50,ST-2199,ST-2199,1
42,20230101.0,55,ST-2310,ST-2310,1
43,20230101.0,55,ST-2804,ST-2804,1
44,20230101.0,55,ST-465,ST-465,1
45,20230101.0,55,ST-76,ST-76,1
46,20230101.0,100,ST-1098,ST-1098,1
