,대여소_ID,강서_데이터_시작,강서_데이터_종료
0,ST-1062,3947,5456
1,ST-1063,5795,3170
2,ST-1064,9005,5562
3,ST-1065,14431,16569
4,ST-1067,2666,3654
5,ST-1069,3473,5300
6,ST-1249,7682,6048
7,ST-1250,1584,619
8,ST-1251,9586,9818
9,ST-1252,459,171
10,ST-1253,3257,6462
11,ST-1254,3960,5165
12,ST-1338,1283,1859
13,ST-1351,5923,7864
14,ST-1352,4304,7732
15,ST-1402,1972,3116
16,ST-1506,4034,3020
17,ST-1507,1034,584
18,ST-1508,902,1199
19,ST-1509,2676,2792
20,ST-1510,4341,5618
21,ST-1511,1498,1463
22,ST-1512,2115,1629
23,ST-1514,1568,3020
24,ST-1515,1530,1246
25,ST-1517,4016,4034
26,ST-1518,734,103
27,ST-1519,4620,6364
28,ST-1520,532,418
29,ST-1645,3332,7134
30,ST-1646,2409,2730
31,ST-1647,1272,1923
32,ST-1676,1620,1737
33,ST-1688,7922,3320
34,ST-1689,6150,5881
35,ST-1694,2010,1792
36,ST-1695,511,222
37,ST-1708,943,401
38,ST-1709,3875,4425
39,ST-1710,2591,4559
40,ST-1711,1581,103
41,ST-1712,7548,754
42,ST-1713,709,264
43,ST-1714,4234,4170
44,ST-1715,2544,404
45,ST-1718,15756,13237
46,ST-1727,1954,2849
47,ST-2018,1411,1030
48,ST-2020,4621,4867
49,ST-2022,1394,1903
50,ST-2023,2443,3996
51,ST-2024,5896,4199
52,ST-2025,1256,1789
53,ST-2026,1518,1681
54,ST-2027,1033,2353
55,ST-2028,925,341
56,ST-2029,1930,4397
57,ST-2031,27533,22552
58,ST-2032,2124,296
59,ST-2033,14171,3574
60,ST-2034,2036,3944
61,ST-2035,10752,3553
62,ST-2036,5542,4764
63,ST-2037,7707,8706
64,ST-2040,5780,4998
65,ST-2041,2794,2597
66,ST-2042,1683,1055
67,ST-2044,6995,1434
68,ST-2045,17682,22046
69,ST-2046,4878,2326
70,ST-2047,4409,4339
71,ST-2048,1258,1498
72,ST-2049,1705,3384
73,ST-2050,2765,7986
74,ST-2052,3187,2225
75,ST-2054,1010,1676
76,ST-2056,4114,7311
77,ST-2057,3784,5406
78,ST-2058,1998,3224
79,ST-2059,3334,5374
80,ST-2399,330,601
81,ST-2411,3967,5460
82,ST-2412,1428,3612
83,ST-2419,1867,3730
84,ST-2476,713,658
85,ST-2477,1586,2820
86,ST-2478,484,899
87,ST-2479,1516,1826
88,ST-2480,684,1264
89,ST-2481,2082,3462
90,ST-2482,3621,5013
91,ST-2483,1844,1684
92,ST-2484,759,770
93,ST-2486,2459,3350
94,ST-2487,4789,6025
95,ST-2488,262,186
96,ST-2489,1831,2943
97,ST-2490,1314,2616
98,ST-2491,2471,4416
99,ST-2492,593,730
100,ST-2494,687,1075
101,ST-2538,3766,2798
102,ST-2539,272,356
103,ST-2550,3733,2413
104,ST-2551,1020,1287
105,ST-2552,1850,1038
106,ST-2553,1049,1751
107,ST-2555,2206,3351
108,ST-2556,825,957
109,ST-2557,6461,9527
110,ST-2558,1491,1175
111,ST-2569,4068,1503
112,ST-2611,2787,3310
113,ST-2613,2142,2854
114,ST-2627,1395,413
115,ST-2752,949,826
116,ST-2789,1676,3646
117,ST-2790,583,199
118,ST-2831,1356,3141
119,ST-2832,2099,2938
120,ST-2857,3678,3593
121,ST-2858,2426,2571
122,ST-2871,10568,6131
123,ST-2883,2264,2999
124,ST-2884,3426,1945
125,ST-2885,1371,956
126,ST-2886,3920,2212
127,ST-2887,630,998
128,ST-2888,4106,5027
129,ST-2889,3064,3210
130,ST-2890,1168,1930
131,ST-2943,3878,3752
132,ST-2944,1586,2013
133,ST-2945,5019,2183
134,ST-2946,719,1353
135,ST-2947,674,581
136,ST-2965,2366,5696
137,ST-2992,1756,2018
138,ST-2993,5375,5451
139,ST-2994,2022,2344
140,ST-3031,3222,356
141,ST-3068,2654,2134
142,ST-3084,4826,4228
143,ST-3094,8887,6352
144,ST-3100,2520,2321
145,ST-3118,1496,385
146,ST-3125,1705,1857
147,ST-3128,6531,715
148,ST-3129,2303,4090
149,ST-3137,2290,231
150,ST-3145,4216,1989
151,ST-3183,104,250
152,ST-3226,3684,3972
153,ST-3251,6434,444
154,ST-3259,1448,202
155,ST-3260,2260,321
156,ST-3261,972,116
157,ST-3263,396,75
158,ST-3276,171,250
159,ST-3281,39,62
160,ST-3284,10,4
161,ST-507,374,422
162,ST-508,3604,4335
163,ST-509,512,403
164,ST-510,1627,3330
165,ST-511,1023,1694
166,ST-512,3219,4206
167,ST-513,7124,7614
168,ST-514,2456,4975
169,ST-516,5280,4462
170,ST-517,2004,2288
171,ST-518,1708,2917
172,ST-519,1777,1629
173,ST-520,2535,2764
174,ST-522,8067,7398
175,ST-523,2918,2123
176,ST-524,1439,1853
177,ST-525,3317,3497
178,ST-526,854,625
179,ST-528,2528,2612
180,ST-530,1827,2695
181,ST-531,452,483
182,ST-532,221,246
183,ST-533,465,1061
184,ST-534,860,958
185,ST-535,639,843
186,ST-536,218,414
187,ST-538,1010,1911
188,ST-824,4373,5912
189,ST-828,1439,2457
190,ST-829,1792,1846
191,ST-831,3970,4425
192,ST-834,6179,6293
193,ST-835,5461,7917
194,ST-975,7355,8050
