대여소_ID,최종용도
ST-1062,주거
ST-1063,상업
ST-1064,상업
ST-1065,주거
ST-1067,주거
ST-1069,주거
ST-1249,상업
ST-1250,상업
ST-1251,주거
ST-1252,상업
ST-1253,주거
ST-1254,주거
ST-1338,주거
ST-1351,주거
ST-1352,주거
ST-1402,주거
ST-1506,상업
ST-1507,주거
ST-1508,주거
ST-1509,주거
ST-1510,주거
ST-1511,상업
ST-1512,주거
ST-1514,주거
ST-1515,상업
ST-1517,상업
ST-1518,상업
ST-1519,주거
ST-1520,주거
ST-1645,주거
ST-1646,주거
ST-1647,주거
ST-1676,상업
ST-1688,상업
ST-1689,상업
ST-1694,주거
ST-1695,상업
ST-1708,상업
ST-1709,주거
ST-1710,주거
ST-1711,상업
ST-1712,상업
ST-1713,상업
ST-1714,상업
ST-1715,상업
ST-1718,주거
ST-1727,주거
ST-2018,주거
ST-2020,상업
ST-2022,주거
ST-2023,주거
ST-2024,상업
ST-2025,주거
ST-2026,주거
ST-2027,주거
ST-2028,주거
ST-2029,주거
ST-2031,상업
ST-2032,상업
ST-2033,상업
ST-2034,주거
ST-2035,상업
ST-2036,상업
ST-2037,주거
ST-2040,상업
ST-2041,상업
ST-2042,상업
ST-2044,상업
ST-2045,주거
ST-2046,상업
ST-2047,상업
ST-2048,주거
ST-2049,주거
ST-2050,주거
ST-2052,상업
ST-2054,주거
ST-2056,주거
ST-2057,주거
ST-2058,주거
ST-2059,주거
ST-2399,주거
ST-2411,주거
ST-2412,주거
ST-2419,주거
ST-2476,주거
ST-2477,주거
ST-2478,주거
ST-2479,주거
ST-2480,주거
ST-2481,주거
ST-2482,주거
ST-2483,상업
ST-2484,주거
ST-2486,주거
ST-2487,주거
ST-2488,상업
ST-2489,주거
ST-2490,주거
ST-2491,주거
ST-2492,주거
ST-2494,주거
ST-2538,상업
ST-2539,주거
ST-2550,상업
ST-2551,주거
ST-2552,상업
ST-2553,주거
ST-2555,주거
ST-2556,주거
ST-2557,주거
ST-2558,주거
ST-2569,상업
ST-2611,주거
ST-2613,주거
ST-2627,상업
ST-2752,주거
ST-2789,주거
ST-2790,상업
ST-2831,주거
ST-2832,주거
ST-2857,상업
ST-2858,주거
ST-2871,상업
ST-2883,주거
ST-2884,상업
ST-2885,상업
ST-2886,상업
ST-2887,주거
ST-2888,주거
ST-2889,상업
ST-2890,주거
ST-2943,상업
ST-2944,주거
ST-2945,상업
ST-2946,주거
ST-2947,주거
ST-2965,주거
ST-2992,주거
ST-2993,상업
ST-2994,주거
ST-3031,상업
ST-3068,상업
ST-3084,상업
ST-3094,상업
ST-3100,주거
ST-3118,상업
ST-3125,주거
ST-3128,상업
ST-3129,주거
ST-3137,상업
ST-3145,상업
ST-3183,주거
ST-3226,주거
ST-3251,상업
ST-3259,상업
ST-3260,상업
ST-3261,상업
ST-3263,상업
ST-3276,주거
ST-3281,주거
ST-507,주거
ST-508,주거
ST-509,주거
ST-510,주거
ST-511,주거
ST-512,주거
ST-513,주거
ST-514,주거
ST-516,상업
ST-517,주거
ST-518,주거
ST-519,주거
ST-520,주거
ST-522,상업
ST-523,주거
ST-524,주거
ST-525,주거
ST-526,주거
ST-528,주거
ST-530,주거
ST-531,주거
ST-532,주거
ST-533,주거
ST-534,주거
ST-535,주거
ST-536,주거
ST-538,주거
ST-824,주거
ST-828,주거
ST-829,주거
ST-831,주거
ST-834,주거
ST-835,주거
ST-975,주거
ST-3284,주거
