,대여소_ID,강서_데이터_시작,강서_데이터_종료
0,ST-1062,3817,2303
1,ST-1063,5061,8806
2,ST-1064,3900,8571
3,ST-1065,5849,5590
4,ST-1067,3604,2990
5,ST-1069,5758,3447
6,ST-1249,3974,6552
7,ST-1250,321,1404
8,ST-1251,6256,5439
9,ST-1252,257,543
10,ST-1253,6027,704
11,ST-1254,4567,3334
12,ST-1338,2320,661
13,ST-1351,6959,3503
14,ST-1352,6444,1556
15,ST-1402,3144,1097
16,ST-1506,2640,4301
17,ST-1507,663,490
18,ST-1508,1044,481
19,ST-1509,2012,2212
20,ST-1510,4358,2015
21,ST-1511,2247,2841
22,ST-1512,2165,1425
23,ST-1514,4257,3631
24,ST-1515,832,1268
25,ST-1517,3020,3441
26,ST-1518,135,1182
27,ST-1519,4720,3826
28,ST-1520,780,318
29,ST-1645,7232,922
30,ST-1646,2432,1562
31,ST-1647,2117,1088
32,ST-1676,1009,1084
33,ST-1688,909,7066
34,ST-1689,2859,2928
35,ST-1694,1560,912
36,ST-1695,182,402
37,ST-1708,321,1247
38,ST-1709,4591,4241
39,ST-1710,4742,678
40,ST-1711,420,2985
41,ST-1712,711,11127
42,ST-1713,497,1213
43,ST-1714,1096,2287
44,ST-1715,2062,3909
45,ST-1718,23247,22826
46,ST-1727,3142,2770
47,ST-2018,622,446
48,ST-2020,3248,4823
49,ST-2022,1925,640
50,ST-2023,3325,633
51,ST-2024,2012,5327
52,ST-2025,1216,391
53,ST-2026,1329,608
54,ST-2027,1932,475
55,ST-2028,840,91
56,ST-2029,4847,934
57,ST-2031,19071,22501
58,ST-2032,251,2665
59,ST-2033,999,18038
60,ST-2034,4454,1367
61,ST-2035,1356,13251
62,ST-2036,3427,4762
63,ST-2037,7982,6663
64,ST-2040,3384,5592
65,ST-2041,3636,2816
66,ST-2042,694,1428
67,ST-2044,1991,11176
68,ST-2045,11505,9782
69,ST-2046,923,4879
70,ST-2047,1430,2820
71,ST-2048,2001,5091
72,ST-2049,4123,592
73,ST-2050,8055,814
74,ST-2052,2504,3457
75,ST-2054,799,690
76,ST-2056,6857,1862
77,ST-2057,1961,2932
78,ST-2058,4028,712
79,ST-2059,3585,3438
80,ST-2399,651,98
81,ST-2411,5472,2858
82,ST-2412,4514,1120
83,ST-2419,3984,329
84,ST-2476,1047,457
85,ST-2477,3318,434
86,ST-2478,665,321
87,ST-2479,1601,1091
88,ST-2480,1286,237
89,ST-2481,3599,582
90,ST-2482,4584,2290
91,ST-2483,1265,1222
92,ST-2484,341,308
93,ST-2486,1452,585
94,ST-2487,4231,2107
95,ST-2488,77,269
96,ST-2489,2880,871
97,ST-2490,2679,545
98,ST-2491,4228,639
99,ST-2492,228,192
100,ST-2494,987,273
101,ST-2538,3447,4654
102,ST-2539,654,68
103,ST-2550,1803,3475
104,ST-2551,761,397
105,ST-2552,936,1788
106,ST-2553,1412,307
107,ST-2555,2143,679
108,ST-2556,711,311
109,ST-2557,8627,4041
110,ST-2558,870,345
111,ST-2569,945,5026
112,ST-2611,2245,632
113,ST-2613,1616,1187
114,ST-2627,298,1497
115,ST-2752,946,403
116,ST-2789,3120,504
117,ST-2790,159,1101
118,ST-2831,2888,342
119,ST-2832,3710,938
120,ST-2857,1736,1714
121,ST-2858,3786,1636
122,ST-2871,5649,10317
123,ST-2883,2124,789
124,ST-2884,1091,3367
125,ST-2885,225,870
126,ST-2886,512,2525
127,ST-2887,676,259
128,ST-2888,2091,1356
129,ST-2889,3559,3790
130,ST-2890,2059,637
131,ST-2943,3413,3570
132,ST-2944,2030,1591
133,ST-2945,1288,6203
134,ST-2946,1251,311
135,ST-2947,711,450
136,ST-2965,6326,1047
137,ST-2992,1109,527
138,ST-2993,2732,3135
139,ST-2994,1220,916
140,ST-3031,382,3674
141,ST-3068,1956,2095
142,ST-3084,3343,4409
143,ST-3094,3196,9451
144,ST-3100,1880,1398
145,ST-3118,266,2574
146,ST-3125,856,469
147,ST-3128,587,9877
148,ST-3129,4036,919
149,ST-3137,234,3286
150,ST-3145,357,3069
151,ST-3183,201,67
152,ST-3226,1888,1638
153,ST-3251,726,10118
154,ST-3259,122,1761
155,ST-3260,96,2781
156,ST-3261,675,1560
157,ST-3263,31,507
158,ST-3276,118,60
159,ST-3281,58,38
160,ST-507,397,321
161,ST-508,2632,2816
162,ST-509,338,335
163,ST-510,2616,636
164,ST-511,1199,561
165,ST-512,2568,926
166,ST-513,3735,3889
167,ST-514,3893,796
168,ST-516,3021,4881
169,ST-517,1905,926
170,ST-518,2441,537
171,ST-519,982,953
172,ST-520,484,1056
173,ST-522,3052,3666
174,ST-523,1224,475
175,ST-524,984,381
176,ST-525,1834,1808
177,ST-526,570,509
178,ST-528,3003,3405
179,ST-530,3721,1588
180,ST-531,787,176
181,ST-532,385,116
182,ST-533,801,194
183,ST-534,252,356
184,ST-535,366,279
185,ST-536,154,84
186,ST-538,2833,267
187,ST-824,3980,1911
188,ST-828,2680,1465
189,ST-829,1344,1005
190,ST-831,2732,1538
191,ST-834,3344,4368
192,ST-835,4274,2164
193,ST-975,2979,2504
