,대여소_ID,지구 분류(출근),지구 분류(퇴근),일치여부,강서_데이터_시작(출근),강서_데이터_종료(출근),차이(출근),차이 절대값(출근),총 이용량(시작 + 종료)(출근),강서_데이터_시작(퇴근),강서_데이터_종료(퇴근),차이(퇴근),차이절대값(퇴근),총 이용량(시작 + 종료)(퇴근)
0,ST-1062,주거,주거,일치,3817,2303,1514,1514,6120,4052,5420,-1368,1368,9472
1,ST-1063,업무,업무,일치,5061,8806,-3745,3745,13867,5762,3109,2653,2653,8871
2,ST-1064,업무,업무,일치,3900,8571,-4671,4671,12471,8962,5449,3513,3513,14411
3,ST-1065,주거,주거,일치,5849,5590,259,259,11439,14935,16778,-1843,1843,31713
4,ST-1067,주거,주거,일치,3604,2990,614,614,6594,2700,3810,-1110,1110,6510
5,ST-1069,주거,주거,일치,5758,3447,2311,2311,9205,3647,5532,-1885,1885,9179
6,ST-1249,업무,업무,일치,3974,6552,-2578,2578,10526,8116,6337,1779,1779,14453
7,ST-1250,업무,업무,일치,321,1404,-1083,1083,1725,1616,614,1002,1002,2230
8,ST-1251,주거,주거,일치,6256,5439,817,817,11695,9621,9862,-241,241,19483
9,ST-1252,업무,업무,일치,257,543,-286,286,800,484,192,292,292,676
10,ST-1253,주거,주거,일치,6027,704,5323,5323,6731,3272,6524,-3252,3252,9796
11,ST-1254,주거,주거,일치,4567,3334,1233,1233,7901,4065,5256,-1191,1191,9321
12,ST-1338,주거,주거,일치,2320,661,1659,1659,2981,1288,1935,-647,647,3223
13,ST-1351,주거,주거,일치,6959,3503,3456,3456,10462,5814,8014,-2200,2200,13828
14,ST-1352,주거,주거,일치,6444,1556,4888,4888,8000,4401,7863,-3462,3462,12264
15,ST-1402,주거,주거,일치,3144,1097,2047,2047,4241,1962,3179,-1217,1217,5141
16,ST-1506,업무,업무,일치,2640,4301,-1661,1661,6941,4101,3049,1052,1052,7150
17,ST-1507,주거,업무,불일치,663,490,173,173,1153,1013,626,387,387,1639
18,ST-1508,주거,주거,일치,1044,481,563,563,1525,925,1190,-265,265,2115
19,ST-1509,업무,주거,불일치,2012,2212,-200,200,4224,2766,2820,-54,54,5586
20,ST-1510,주거,주거,일치,4358,2015,2343,2343,6373,4450,5789,-1339,1339,10239
21,ST-1511,업무,업무,일치,2247,2841,-594,594,5088,1468,1466,2,2,2934
22,ST-1512,주거,업무,불일치,2165,1425,740,740,3590,2115,1578,537,537,3693
23,ST-1514,주거,주거,일치,4257,3631,626,626,7888,1595,3061,-1466,1466,4656
24,ST-1515,업무,업무,일치,832,1268,-436,436,2100,1596,1268,328,328,2864
25,ST-1517,업무,업무,일치,3020,3441,-421,421,6461,4189,4143,46,46,8332
26,ST-1518,업무,업무,일치,135,1182,-1047,1047,1317,726,125,601,601,851
27,ST-1519,주거,주거,일치,4720,3826,894,894,8546,4664,6392,-1728,1728,11056
28,ST-1520,주거,업무,불일치,780,318,462,462,1098,522,431,91,91,953
29,ST-1645,주거,주거,일치,7232,922,6310,6310,8154,3392,7366,-3974,3974,10758
30,ST-1646,주거,주거,일치,2432,1562,870,870,3994,2484,2796,-312,312,5280
31,ST-1647,주거,주거,일치,2117,1088,1029,1029,3205,1250,1938,-688,688,3188
32,ST-1676,업무,주거,불일치,1009,1084,-75,75,2093,1605,1689,-84,84,3294
33,ST-1688,업무,업무,일치,909,7066,-6157,6157,7975,7936,3423,4513,4513,11359
34,ST-1689,업무,업무,일치,2859,2928,-69,69,5787,6399,6042,357,357,12441
