,대여소_ID,강서_데이터_시작,강서_데이터_종료
0,ST-1062,4052,5420
1,ST-1063,5762,3109
2,ST-1064,8962,5449
3,ST-1065,14935,16778
4,ST-1067,2700,3810
5,ST-1069,3647,5532
6,ST-1249,8116,6337
7,ST-1250,1616,614
8,ST-1251,9621,9862
9,ST-1252,484,192
10,ST-1253,3272,6524
11,ST-1254,4065,5256
12,ST-1338,1288,1935
13,ST-1351,5814,8014
14,ST-1352,4401,7863
15,ST-1402,1962,3179
16,ST-1506,4101,3049
17,ST-1507,1013,626
18,ST-1508,925,1190
19,ST-1509,2766,2820
20,ST-1510,4450,5789
21,ST-1511,1468,1466
22,ST-1512,2115,1578
23,ST-1514,1595,3061
24,ST-1515,1596,1268
25,ST-1517,4189,4143
26,ST-1518,726,125
27,ST-1519,4664,6392
28,ST-1520,522,431
29,ST-1645,3392,7366
30,ST-1646,2484,2796
31,ST-1647,1250,1938
32,ST-1676,1605,1689
33,ST-1688,7936,3423
34,ST-1689,6399,6042
35,ST-1694,2134,1892
36,ST-1695,501,209
37,ST-1708,895,387
38,ST-1709,4018,4528
39,ST-1710,2541,4588
40,ST-1711,1589,103
41,ST-1712,7715,787
42,ST-1713,702,263
43,ST-1714,4233,4126
44,ST-1715,2490,416
45,ST-1718,15779,13166
46,ST-1727,1955,2815
47,ST-2018,1420,1035
48,ST-2020,4829,4964
49,ST-2022,1433,2027
50,ST-2023,2453,4084
51,ST-2024,6128,4398
52,ST-2025,1342,1927
53,ST-2026,1472,1663
54,ST-2027,1127,2464
55,ST-2028,869,366
56,ST-2029,1993,4494
57,ST-2031,27487,22712
58,ST-2032,2073,316
59,ST-2033,14530,3603
60,ST-2034,1960,3898
61,ST-2035,10864,3613
62,ST-2036,5567,4820
63,ST-2037,7693,8807
64,ST-2040,5832,4998
65,ST-2041,2812,2706
66,ST-2042,1692,1055
67,ST-2044,7089,1464
68,ST-2045,18223,22287
69,ST-2046,4937,2341
70,ST-2047,4602,4376
71,ST-2048,1243,1495
72,ST-2049,1737,3426
73,ST-2050,2776,8086
74,ST-2052,3237,2306
75,ST-2054,1054,1757
76,ST-2056,4208,7401
77,ST-2057,3988,5558
78,ST-2058,2011,3264
79,ST-2059,3338,5456
80,ST-2399,311,633
81,ST-2411,4046,5590
82,ST-2412,1496,3627
83,ST-2419,1828,3749
84,ST-2476,694,680
85,ST-2477,1576,2817
86,ST-2478,466,879
87,ST-2479,1648,1879
88,ST-2480,669,1255
89,ST-2481,2117,3533
90,ST-2482,3707,5125
91,ST-2483,1918,1752
92,ST-2484,790,797
93,ST-2486,2559,3438
94,ST-2487,5010,6252
95,ST-2488,257,212
96,ST-2489,1879,3017
97,ST-2490,1375,2782
98,ST-2491,2441,4467
99,ST-2492,619,773
100,ST-2494,730,1115
101,ST-2538,3916,2851
102,ST-2539,262,373
103,ST-2550,3805,2545
104,ST-2551,1070,1337
105,ST-2552,1911,1103
106,ST-2553,1041,1706
107,ST-2555,2280,3354
108,ST-2556,739,967
109,ST-2557,6549,9782
110,ST-2558,1476,1243
111,ST-2569,4125,1552
112,ST-2611,2843,3403
113,ST-2613,2229,2932
114,ST-2627,1357,391
115,ST-2752,1020,855
116,ST-2789,1641,3735
117,ST-2790,661,211
118,ST-2831,1427,3239
119,ST-2832,2128,2984
120,ST-2857,3650,3491
121,ST-2858,2485,2586
122,ST-2871,10778,6150
123,ST-2883,2310,3075
124,ST-2884,3349,1902
125,ST-2885,1381,954
126,ST-2886,4009,2309
127,ST-2887,635,1017
128,ST-2888,4119,5053
129,ST-2889,3137,3254
130,ST-2890,1196,1975
131,ST-2943,3917,3840
132,ST-2944,1649,2082
133,ST-2945,5119,2260
134,ST-2946,718,1402
135,ST-2947,714,621
136,ST-2965,2299,5716
137,ST-2992,1805,1995
138,ST-2993,5452,5370
139,ST-2994,2130,2350
140,ST-3031,3386,354
141,ST-3068,2652,2207
142,ST-3084,4857,4195
143,ST-3094,8805,6266
144,ST-3100,2559,2416
145,ST-3118,1528,413
146,ST-3125,1797,2004
147,ST-3128,6822,728
148,ST-3129,2331,4263
149,ST-3137,2302,247
150,ST-3145,4211,2007
151,ST-3183,112,272
152,ST-3226,3859,4070
153,ST-3251,6301,409
154,ST-3259,1454,194
155,ST-3260,2191,281
156,ST-3261,957,136
157,ST-3263,380,78
158,ST-3276,170,261
159,ST-3281,43,58
160,ST-3284,10,4
161,ST-507,410,429
162,ST-508,3697,4412
163,ST-509,520,423
164,ST-510,1642,3393
165,ST-511,1052,1744
166,ST-512,3281,4308
167,ST-513,7204,7787
168,ST-514,2616,5080
169,ST-516,5395,4504
170,ST-517,2093,2405
171,ST-518,1795,2920
172,ST-519,1742,1707
173,ST-520,2657,2906
174,ST-522,8082,7214
175,ST-523,3063,2178
176,ST-524,1514,1894
177,ST-525,3369,3526
178,ST-526,829,639
179,ST-528,2516,2708
180,ST-530,1870,2753
181,ST-531,484,476
182,ST-532,242,257
183,ST-533,494,1080
184,ST-534,884,960
185,ST-535,660,855
186,ST-536,215,418
187,ST-538,1045,1916
188,ST-824,4450,6099
189,ST-828,1469,2507
190,ST-829,1956,1923
191,ST-831,4079,4576
192,ST-834,6339,6460
193,ST-835,5497,7926
194,ST-975,7587,8311
