대여소_ID,주소1,주소2,위도,경도,주소
ST-837,서울특별시 강서구 강서로 지하 54,강서구 화곡동 662-5,37.532551,126.846321,강서
ST-836,서울특별시 강서구 곰달래로37길 13,강서구곰달래로37길 13,37.53178,126.854485,강서
ST-833,서울특별시 강서구 공항대로59길 8,강서구 등촌동 666-90,37.551666,126.86409,강서
ST-832,서울특별시 강서구 방화대로47가길 22,강서구 방화동 830-15,37.577213,126.813553,강서
ST-537,서울특별시 강서구 곰달래로 51,355-48,37.530338,126.838257,강서
ST-529,서울특별시 강서구 등촌로51나길 29,강서구 등촌동 520-6,37.548061,126.86042,강서
ST-527,서울특별시 강서구 화곡로 232,강서구 화곡동 94-6,37.546444,126.845459,강서
ST-521,서울특별시 강서구 강서로80길 117,강서구 가양동 1459-9,37.57048,126.849503,강서
ST-515,서울특별시 강서구 양천로 200,강서구 마곡동 223-6,37.572781,126.826279,강서
ST-3284,서울특별시 강서구 남부순환로 222 서울자동차학원,,37.546135,126.82106,강서
ST-2612,서울특별시 강서구 양천로452,,37.563011,126.851006,강서
ST-2554,서울특별시 강서구 공항대로 49-2 공항신성빌딩,,37.56131,126.813072,강서
ST-2540,서울특별시 강서구 강서로 191 화평빌딩,강서로191,37.54324,126.838631,강서
ST-2495,서울특별시 강서구 강서구 방화동 874-1,,37.569839,126.807564,강서
ST-2493,서울특별시 강서구 강서구 방화동 57-5번지,,37.584171,126.819328,강서
ST-2485,서울특별시 강서구 방화동635-26,,37.564384,126.806046,강서
ST-2475,서울특별시 강서구 양천로656,,37.552696,126.869751,강서
ST-2055,서울특별시 강서구 화곡동 663-15,,37.531395,126.847191,강서
ST-2053,서울특별시 강서구 마곡서로 133 마곡엠밸리7단지,,37.566689,126.824699,강서
ST-2051,서울특별시 강서구 마곡동 741-1,,37.564938,126.819359,강서
ST-2043,서울특별시 강서구 마곡동 775-3,,37.567223,126.834389,강서
ST-2038,서울특별시 강서구 등촌동 709,,37.561882,126.839157,강서
ST-2030,서울특별시 강서구 강서로47길 108 마곡수명산파크1단지아파트,,37.553352,126.831047,강서
ST-2021,서울특별시 강서구 양천로 431 홈플러스가양점,,37.564404,126.84922,강서
ST-1750,서울특별시 강서구 개화동로8길 17,개화정비,37.577908,126.798042,강서
ST-1516,서울특별시 강서구 강서로 409,국민건강보험공단(강서지사) 건너편,37.562099,126.839256,강서
ST-1513,서울특별시 강서구 개화동로 495,공항고등학교 정문,37.567921,126.805473,강서
ST-1255,서울특별시 강서구 허준로 65,기쁜우리복지관,0.0,0.0,강서
ST-1068,서울특별시 강서구 화곡동 1136-1,한국여자 농구연맹 건너편,0.0,0.0,강서
ST-1066,서울특별시 서울 강서구 내발산동 741-8,마곡수명산파크2단지 교차로,0.0,0.0,강서
