대여소_ID,주소1,주소2,주소,분류,용도지역,,
ST-2037,서울특별시 강서구 마곡동 727-1243,0,서울 강서구 마곡동 727-1243, ,주거지역,,
ST-824,서울특별시 강서구 양천로24길 13 마곡센트레빌,0,서울 강서구 양천로24길 13,주거지역,주거지역,,
ST-829,서울특별시 강서구 화곡로 지하 168,화곡역 6번출구,서울 강서구 화곡로 168,주거지역,주거지역,,
ST-2611,서울특별시 강서구 초원로16길 3-9 안성빌라,0,서울 강서구 초원로16길 3-8,주거지역,주거지역,,
ST-2031,서울특별시 강서구 마곡중앙5로 2 마곡나루역(9호선),0,서울 강서구 마곡중앙5로 2,주거지역,주거지역,,
ST-2790,서울특별시 강서구 마곡동 780-8,0,서울 강서구 마곡동 780-8,상업지역,상업지역,,
ST-3068,서울특별시 강서구 양천로 660 왈도강서캠퍼스,0,서울 강서구 양천로 660,상업지역,상업지역,,
ST-512,서울특별시 강서구 마곡중앙5로 58,강서구 마곡동 743-3,서울 강서구 마곡중앙5로 58,주거지역,주거지역,,
ST-834,서울특별시 강서구 공항대로 329,강서구 등촌동 675-7,서울 강서구 공항대로 329,주거지역,주거지역,,
ST-1509,서울특별시 강서구 허준로 202,가양3동 주민센터,서울 강서구 허준로 202,주거지역,주거지역,,
ST-2045,서울특별시 강서구 마곡동로 115,0,서울 강서구 마곡동로 115, ,상업지역,,
ST-533,서울특별시 강서구 등촌로 95 대일빌딩,0,서울 강서구 등촌로 95,주거지역,주거지역,,
ST-1065,서울특별시 강서구 마곡동 797-5,0,서울 강서구 마곡동 797-5,상업지역,상업지역,,
ST-1250,서울특별시 강서구 양천로53길 30,서서울모터리움앞,서울 강서구 양천로53길 30,상업지역,상업지역,,
ST-1254,서울특별시 강서구 방화대로34길 65,방화동 강서기동대앞,서울 강서구 방화대로34길 65,주거지역,주거지역,,
ST-1402,서울특별시 강서구 마곡중앙1로 72 마곡엠밸리10단지,0,서울 강서구 마곡중앙1로 72,주거지역,주거지역,,
ST-1510,서울특별시 강서구 공항대로 411,강서구청사거리(SH타워),서울 강서구 공항대로 411,상업지역,상업지역,,
ST-1515,서울특별시 강서구 양천로 22,개화산역 2번 출구,서울 강서구 양천로 22,주거지역,주거지역,,
ST-1517,서울특별시 강서구 마곡중앙로 36,마곡엠밸리 15단지(1502동) 건너편,서울 강서구 마곡중앙로 36,주거지역,주거지역,,
ST-1714,서울특별시 강서구 강서로 247,엘펠리체 호텔 건너편,서울 강서구 강서로 247,주거지역,주거지역,,
ST-2025,서울특별시 강서구 가양동 1459-11,0,서울 강서구 가양동 1459-11,주거지역,주거지역,,
ST-2036,서울특별시 강서구 공항대로 195 힐스테이트에코동익,0,서울 강서구 공항대로 195,상업지역,상업지역,,
ST-2040,서울특별시 강서구 마곡동 789-10,0,서울 강서구 마곡동 789-10,상업지역,상업지역,,
ST-2047,서울특별시 강서구 마곡동 769-4,0,서울 강서구 마곡동 769-4, ,상업지역,,
ST-2050,서울특별시 강서구 마곡중앙1로 71 마곡 13단지 힐스테이트 마스터,0,서울 강서구 마곡중앙1로 71,주거지역,주거지역,,
ST-2482,서울특별시 강서구 방화대로319,0,서울 강서구 방화대로 319,주거지역,주거지역,,
ST-2491,서울특별시 강서구 양천로47길 112,0,서울 강서구 양천로47길 112,상업지역,상업지역,,
ST-2557,서울특별시 강서구 화곡로 347,0,서울 강서구 화곡로 347,주거지역,주거지역,,
