대여소_ID,주소1,주소2,위도,경도,isin강서,주소
ST-2890,서울특별시 강서구 마곡동 222-32,,37.573341,126.823318,강서,서울 강서구 마곡동 222-32
ST-2889,서울특별시 강서구 마곡동 767-3,,37.563541,126.824554,강서,서울 강서구 마곡동 767-3
ST-2888,서울특별시 강서구 내발산동 657-2,,37.555454,126.837517,강서,서울 강서구 내발산동 657-2
ST-2887,서울특별시 강서구 곰달래로37길 13 화곡2동주민센터,,37.531822,126.854622,강서,서울 강서구 곰달래로37길 13
ST-2886,서울특별시 강서구 마곡동 799,,37.559311,126.827438,강서,서울 강서구 마곡동 799
ST-2885,서울특별시 강서구 마곡동 799,,37.55933,126.827179,강서,서울 강서구 마곡동 799
ST-2884,서울특별시 강서구 마곡동 799,,37.559059,126.827049,강서,서울 강서구 마곡동 799
ST-2883,서울특별시 강서구 방화동 849-2,,37.571087,126.807541,강서,서울 강서구 방화동 849-2
ST-2871,서울특별시 강서구 마곡동 798,,37.559746,126.824387,강서,서울 강서구 마곡동 798
ST-2858,서울특별시 강서구 마곡서1로 48,,37.560593,126.820847,강서,서울 강서구 마곡서1로 48
ST-2857,서울특별시 강서구 방화대로 294 마곡더블유타워,,37.566929,126.816841,강서,서울 강서구 방화대로 294
ST-2832,서울특별시 강서구 마곡중앙로 33 마곡엠밸리14단지,,37.557373,126.823326,강서,서울 강서구 마곡중앙로 33
ST-2831,서울특별시 강서구 공항대로 103,,37.560684,126.819183,강서,서울 강서구 마곡동 747
ST-2790,서울특별시 강서구 마곡동 780-8,,37.567192,126.834755,강서,서울 강서구 마곡동 780-8
ST-2789,서울특별시 강서구 마곡동 744-2,,37.561085,126.816795,강서,서울 강서구 마곡동 744-2
ST-2752,서울특별시 강서구 남부순환로 205,,37.547398,126.821411,강서,서울 강서구 남부순환로 205
ST-2627,서울특별시 강서구 하늘길 112,,37.556885,126.809265,강서,서울 강서구 하늘길 112
ST-2613,서울특별시 강서구 공항대로 308,,37.558029,126.841835,강서,서울 강서구 공항대로 308-7
ST-2612,서울특별시 강서구 양천로452,,37.563011,126.851006,강서,서울 강서구 양천로 452
ST-2611,서울특별시 강서구 초원로16길 3-9 안성빌라,,37.567406,126.816216,강서,서울 강서구 초원로16길 3-8
ST-2569,서울특별시 강서구 마곡동 769-4,,37.558632,126.835594,강서,서울 강서구 마곡동 769-4
ST-2558,서울특별시 강서구 강서로 242 강서힐스테이트,,37.546638,126.836578,강서,서울 강서구 강서로 242
ST-2557,서울특별시 강서구 화곡로 347,,37.555107,126.851547,강서,서울 강서구 화곡로 347
ST-2556,서울특별시 강서구 내발산동 755,,37.548573,126.820763,강서,서울 강서구 내발산동 755
ST-2555,서울특별시 강서구 공항동 34-69,,37.560879,126.813545,강서,서울 강서구 공항동 34-69
ST-2554,서울특별시 강서구 공항대로 49-2 공항신성빌딩,,37.56131,126.813072,강서,서울 강서구 공항대로 49-2
ST-2553,서울특별시 강서구 염창동 119,,37.551952,126.876709,강서,서울 강서구 염창동 119
ST-2552,서울특별시 강서구 양천로 400-12 더리브골드타워,,37.565571,126.846245,강서,서울 강서구 양천로 400-12
ST-2551,서울특별시 강서구 화곡로 206 삼영빌딩,,37.543827,126.843689,강서,서울 강서구 화곡로 206
ST-2550,서울특별시 강서구 양천로 559 가양이마트,,37.557133,126.863144,강서,서울 강서구 양천로 559
ST-2540,서울특별시 강서구 강서로 191 화평빌딩,강서로191,37.54324,126.838631,강서,서울 강서구 강서로 191
