,대여소_ID,주소1,주소2,위도,경도,isin강서,주소,용도지역_1,용도지역_2,용도지역_3,용도지역_4
0,ST-2495,서울특별시 강서구 방화동 874-1,,37.569839,126.807564,강서,서울 강서구 방화동 874-1,제3종일반주거지역,도시지역,중요시설물보호지구(공항),과밀억제권역
1,ST-2494,서울특별시 강서구 염창동 223-4번지,,37.556805,126.871559,강서,서울 강서구 염창동 223-4,도시지역,자연녹지지역,준공업지역,도로
2,ST-2493,서울특별시 강서구 방화동 57-5번지,,37.584171,126.819328,강서,서울 강서구 방화동 57-5,,,,
3,ST-2492,서울특별시 강서구 가양동 1456-6,,37.573864,126.843475,강서,서울 강서구 가양동 1456-6,도시지역,자연녹지지역,중요시설물보호지구(공항),제1종지구단위계획구역
4,ST-2491,서울특별시 강서구 양천로47길 112,,37.575317,126.83667,강서,서울 강서구 양천로47길 112,도시지역,준공업지역,중요시설물보호지구(공항),과밀억제권역
5,ST-2490,서울특별시 강서구 양천로47길 90,,37.5741,126.837112,강서,서울 강서구 양천로47길 90,도시지역,준공업지역,중요시설물보호지구(공항),과밀억제권역
6,ST-2489,서울특별시 강서구 양천로47길 24,,37.571289,126.837776,강서,서울 강서구 양천로47길 24,도시지역,준공업지역,중요시설물보호지구(공항),과밀억제권역
7,ST-2488,서울특별시 강서구 금낭화로26가길 130,,37.584583,126.810921,강서,서울 강서구 금낭화로26가길 130,도시지역,자연녹지지역,중요시설물보호지구(공항),일반철도
8,ST-2487,서울특별시 강서구 공항대로45길68-6,,37.557552,126.856255,강서,서울 강서구 공항대로45길 68-6,도시지역,준공업지역,중요시설물보호지구(공항),과밀억제권역
9,ST-2486,서울특별시 강서구 방화동621-6,,37.561794,126.80793,강서,서울 강서구 방화동 621-6,도시관리계획 입안중,도시지역,근린상업지역,건축선
10,ST-2485,서울특별시 강서구 방화동635-26,,37.564384,126.806046,강서,서울 강서구 방화동 635-26,도시지역,제2종일반주거지역,자연녹지지역,중요시설물보호지구(공항)
11,ST-2484,서울특별시 강서구 방화동651-1,,37.567535,126.805183,강서,서울 강서구 방화동 651-1,도시지역,자연녹지지역,중요시설물보호지구(공항),공항
12,ST-2483,서울특별시 강서구 강서로74길58,,37.566441,126.844307,강서,서울 강서구 강서로74길 58,도시지역,준공업지역,중요시설물보호지구(공항),과밀억제권역
13,ST-2482,서울특별시 강서구 방화대로319,,37.569248,126.816505,강서,서울 강서구 방화대로 319,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항)
14,ST-2481,서울특별시 강서구 화곡로228,,37.545368,126.844704,강서,서울 강서구 화곡로 228,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항)
15,ST-2480,서울특별시 강서구 화곡로 227,,37.545555,126.844498,강서,서울 강서구 화곡로 227,제3종일반주거지역,도시지역,건축선,중요시설물보호지구(공항)
16,ST-2479,서울특별시 강서구 양천로590,,37.55603,126.864296,강서,서울 강서구 양천로 590,도시지역,준공업지역,건축선,중요시설물보호지구(공항)
17,ST-2478,서울특별시 강서구 양천로 743 나이아가라관광호텔,,37.54903,126.878365,강서,서울 강서구 양천로 743,제3종일반주거지역,도시관리계획 입안중,도시지역,역사문화특화경관지구
18,ST-2477,서울특별시 강서구 마곡동 726-16,,37.564976,126.817406,강서,서울 강서구 마곡동 726-16,도시지역,제2종일반주거지역,중요시설물보호지구(공항),중로2류(폭 15m~20m)
19,ST-2476,서울특별시 강서구 공항동9-12,,37.561134,126.816101,강서,서울 강서구 공항동 9-12,제3종일반주거지역,도시관리계획 입안중,도시지역,건축선
20,ST-2475,서울특별시 강서구 양천로656,,37.552696,126.869751,강서,서울 강서구 양천로 656,도시지역,준공업지역,건축선,도로
21,ST-2419,서울특별시 강서구 내발산동 751-6,,37.55135,126.824936,강서,서울 강서구 내발산동 751-6,제3종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항)
22,ST-2412,서울특별시 강서구 내발산동 752-1,,37.552559,126.823112,강서,서울 강서구 내발산동 752-1,제3종일반주거지역,제2종일반주거지역,도시지역,중요시설물보호지구(공항)
23,ST-2411,서울특별시 강서구 마곡서1로 60,,37.562092,126.820969,강서,서울 강서구 마곡서1로 60,도시지역,준주거지역,중요시설물보호지구(공항),지구단위계획구역
24,ST-2399,서울특별시 강서구 강서로 532 동신아파트.대아아파트,,37.572044,126.844002,강서,서울 강서구 강서로 532,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역
25,ST-2059,서울특별시 강서구 화곡로65길 62 강서구민올림픽체육센터,,37.559906,126.850426,강서,서울 강서구 화곡로65길 62,제3종일반주거지역,제2종일반주거지역,도시지역,중요시설물보호지구(공항)
26,ST-2058,서울특별시 강서구 수명로2길 105 마곡수명산파크5단지아파트,,37.550617,126.826881,강서,서울 강서구 수명로2길 105,제2종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항)
27,ST-2057,서울특별시 강서구 마곡동 811-6,,37.572975,126.832443,강서,서울 강서구 마곡동 811-6,,,,
28,ST-2056,서울특별시 강서구 내발산동 741-2,,37.553631,126.828613,강서,서울 강서구 내발산동 741-2,제3종일반주거지역,도시지역,제1종일반주거지역,중요시설물보호지구(공항)
29,ST-2055,서울특별시 강서구 화곡동 663-15,,37.531395,126.847191,강서,서울 강서구 화곡동 663-15,제2종일반주거지역,도시지역,일반상업지역,건축선
30,ST-2054,서울특별시 강서구 화곡동 662-6,,37.53159,126.846642,강서,서울 강서구 화곡동 662-6,제3종일반주거지역,도시지역,일반상업지역,건축선
31,ST-2053,서울특별시 강서구 마곡서로 133 마곡엠밸리7단지,,37.566689,126.824699,강서,서울 강서구 마곡서로 133,제3종일반주거지역,도시지역,준주거지역,중요시설물보호지구(공항)
32,ST-2052,서울특별시 강서구 마곡서로 101 동익드미라벨복합빌딩,,37.562294,126.823952,강서,서울 강서구 마곡서로 101,제3종일반주거지역,도시지역,일반상업지역,중요시설물보호지구(공항)
33,ST-2051,서울특별시 강서구 마곡동 741-1,,37.564938,126.819359,강서,서울 강서구 마곡동 741-1,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역
34,ST-2050,서울특별시 강서구 마곡중앙1로 71 마곡 13단지 힐스테이트 마스터,,37.558632,126.819916,강서,서울 강서구 마곡중앙1로 71,제3종일반주거지역,도시지역,중요시설물보호지구(공항),지구단위계획구역
35,ST-2049,서울특별시 강서구 마곡동 728-352,,37.555309,126.829857,강서,서울 강서구 마곡동 728-352,,,,
36,ST-2048,서울특별시 강서구 마곡동 728-46,,37.555241,126.834717,강서,서울 강서구 마곡동 728-46,,,,
37,ST-2047,서울특별시 강서구 마곡동 769-4,,37.559128,126.834953,강서,서울 강서구 마곡동 769-4,,,,
38,ST-2046,서울특별시 강서구 마곡중앙로 177 더넥센유니버시티,,37.569485,126.828094,강서,서울 강서구 마곡중앙로 177,도시지역,준공업지역,중요시설물보호지구(공항),지구단위계획구역
39,ST-2045,서울특별시 강서구 마곡동로 115,,37.565804,126.828079,강서,서울 강서구 마곡동로 115,자연녹지지역,도시지역,중요시설물보호지구(공항),지구단위계획구역
