지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C)
108,서울,2023-04-01,17.5,9.4,25.6
108,서울,2023-04-02,18.8,11.9,25.2
108,서울,2023-04-03,19,11.3,25.9
108,서울,2023-04-04,17.6,12.7,21.7
108,서울,2023-04-05,11.9,8.7,14.9
108,서울,2023-04-06,8.8,7.4,9.7
108,서울,2023-04-07,8.9,4.6,15.7
108,서울,2023-04-08,8.8,3.1,14.9
108,서울,2023-04-09,10.8,3.5,17.8
108,서울,2023-04-10,13.2,6.2,19.1
108,서울,2023-04-11,13.1,9.2,17.4
108,서울,2023-04-12,10.1,4.8,15.3
108,서울,2023-04-13,11.9,5.1,17.2
108,서울,2023-04-14,16.2,11.9,21.3
108,서울,2023-04-15,13.5,9.3,16.6
108,서울,2023-04-16,10.8,7.5,16.1
108,서울,2023-04-17,13.1,6.8,18.1
108,서울,2023-04-18,14,10.7,18.4
108,서울,2023-04-19,19.1,11.5,28.4
108,서울,2023-04-20,15.8,14.5,18.9
108,서울,2023-04-21,16.7,11.4,22.8
108,서울,2023-04-22,16.9,12.2,22.5
108,서울,2023-04-23,16.1,10.7,22.1
108,서울,2023-04-24,15.8,11.5,21.3
108,서울,2023-04-25,10.9,9,13.2
108,서울,2023-04-26,10.2,7.4,13.5
108,서울,2023-04-27,12.9,5.1,20
108,서울,2023-04-28,15.7,9,21.3
108,서울,2023-04-29,13.2,9.9,15.8
108,서울,2023-04-30,12.7,7.9,17.9
108,서울,2023-05-01,14.6,9.8,20.8
108,서울,2023-05-02,16.7,9.1,23.7
108,서울,2023-05-03,19.5,12.4,26.2
108,서울,2023-05-04,21.4,15.6,25.8
108,서울,2023-05-05,18.4,15.5,21.6
108,서울,2023-05-06,12.6,11.7,15.5
108,서울,2023-05-07,14.4,11.1,18.6
108,서울,2023-05-08,15.3,7.9,22
108,서울,2023-05-09,17,10,24.4
108,서울,2023-05-10,18.4,10.7,26
108,서울,2023-05-11,19.5,12.8,26.7
108,서울,2023-05-12,18.4,13.1,24.7
108,서울,2023-05-13,17.8,12.6,23.9
108,서울,2023-05-14,18.1,12.9,23.8
108,서울,2023-05-15,20.6,12.8,27.9
108,서울,2023-05-16,24,17.2,31.2
108,서울,2023-05-17,23.5,18.6,28.7
108,서울,2023-05-18,21.2,18.8,27.6
108,서울,2023-05-19,22.3,16.7,27.8
108,서울,2023-05-20,21.2,16.6,26.7
108,서울,2023-05-21,17.8,15.3,21.9
108,서울,2023-05-22,20.3,15.9,26.8
108,서울,2023-05-23,20.5,14.1,26.9
108,서울,2023-05-24,20.6,14.8,25.9
108,서울,2023-05-25,21.2,15.7,27.4
108,서울,2023-05-26,21.4,15.8,27.3
108,서울,2023-05-27,19.3,18.6,20.7
108,서울,2023-05-28,19.2,18.4,20.2
108,서울,2023-05-29,23.2,19,28.5
108,서울,2023-05-30,24,20.5,28.9
108,서울,2023-05-31,22.8,18.8,28.2
108,서울,2023-06-01,22.8,19.7,26.3
108,서울,2023-06-02,20.4,17.9,25
108,서울,2023-06-03,22,16.6,27.8
108,서울,2023-06-04,22.1,16.9,28
108,서울,2023-06-05,21.5,17.6,26.3
108,서울,2023-06-06,20.3,17.3,25.2
108,서울,2023-06-07,21.4,18.9,25.7
108,서울,2023-06-08,20.4,18.3,23.9
108,서울,2023-06-09,23.3,18.3,28.4
108,서울,2023-06-10,23.2,19.6,28.5
108,서울,2023-06-11,22.1,17.9,27.3
