지점_x,지점명_x,일시,평균기온(°C),일강수량(mm),일 미세먼지 농도(㎍/㎥)
108,서울,2023-04-01,17.5,,88
108,서울,2023-04-02,18.8,,52
108,서울,2023-04-03,19.0,,52
108,서울,2023-04-04,17.6,6.9,32
108,서울,2023-04-06,8.8,2.7,63
108,서울,2023-04-07,8.9,,93
108,서울,2023-04-08,8.8,,46
108,서울,2023-04-09,10.8,,67
108,서울,2023-04-10,13.2,,48
108,서울,2023-04-11,13.1,2.9,68
108,서울,2023-04-12,10.1,,333
108,서울,2023-04-13,11.9,0.0,226
108,서울,2023-04-14,16.2,,109
108,서울,2023-04-15,13.5,4.6,61
108,서울,2023-04-16,10.8,0.0,118
108,서울,2023-04-17,13.1,,117
108,서울,2023-04-18,14.0,1.5,55
108,서울,2023-04-19,19.1,,44
108,서울,2023-04-20,15.8,0.5,15
108,서울,2023-04-21,16.7,,64
108,서울,2023-04-22,16.9,,62
108,서울,2023-04-23,16.1,,59
108,서울,2023-04-24,15.8,,60
108,서울,2023-04-25,10.9,0.4,31
108,서울,2023-04-26,10.2,0.0,28
108,서울,2023-04-27,12.9,,43
108,서울,2023-04-28,15.7,1.9,38
108,서울,2023-04-29,13.2,25.1,25
108,서울,2023-04-30,12.7,0.1,47
108,서울,2023-05-01,14.6,,54
108,서울,2023-05-02,16.7,,39
108,서울,2023-05-03,19.5,,47
108,서울,2023-05-04,21.4,,48
108,서울,2023-05-07,14.4,,36
108,서울,2023-05-08,15.3,,42
108,서울,2023-05-09,17.0,,57
108,서울,2023-05-10,18.4,,59
108,서울,2023-05-11,19.5,,51
108,서울,2023-05-12,18.4,,52
108,서울,2023-05-13,17.8,0.0,38
108,서울,2023-05-14,18.1,,25
108,서울,2023-05-15,20.6,,38
108,서울,2023-05-16,24.0,,62
108,서울,2023-05-17,23.5,,37
108,서울,2023-05-18,21.2,1.3,33
108,서울,2023-05-19,22.3,,24
108,서울,2023-05-20,21.2,,28
108,서울,2023-05-21,17.8,0.2,89
108,서울,2023-05-22,20.3,0.0,148
108,서울,2023-05-23,20.5,,67
108,서울,2023-05-24,20.6,,40
108,서울,2023-05-25,21.2,0.0,37
108,서울,2023-05-26,21.4,0.5,35
108,서울,2023-05-27,19.3,31.8,26
108,서울,2023-05-28,19.2,41.8,11
108,서울,2023-05-29,23.2,2.3,19
108,서울,2023-05-30,24.0,,34
108,서울,2023-05-31,22.8,,31
108,서울,2023-06-01,22.8,,38
108,서울,2023-06-02,20.4,0.0,29
108,서울,2023-06-03,22.0,,38
108,서울,2023-06-04,22.1,,39
108,서울,2023-06-05,21.5,,32
108,서울,2023-06-06,20.3,0.0,22
108,서울,2023-06-07,21.4,0.0,37
108,서울,2023-06-08,20.4,1.9,22
108,서울,2023-06-10,23.2,0.8,34
108,서울,2023-06-11,22.1,32.2,24
108,서울,2023-06-12,22.2,0.0,29
108,서울,2023-06-13,22.0,0.0,27
108,서울,2023-06-14,20.6,30.6,26
108,서울,2023-06-15,22.7,,30
108,서울,2023-06-16,23.7,,25
108,서울,2023-06-17,24.2,,21
108,서울,2023-06-18,25.9,,26
108,서울,2023-06-19,28.5,,50
108,서울,2023-06-20,24.7,6.4,36
108,서울,2023-06-21,20.5,24.9,11
108,서울,2023-06-22,22.5,0.0,23
108,서울,2023-06-23,24.4,,33
108,서울,2023-06-24,26.4,,39
108,서울,2023-06-25,28.2,,32
108,서울,2023-06-26,24.2,30.3,16
108,서울,2023-06-27,25.3,2.5,18
108,서울,2023-06-28,26.5,0.0,33
108,서울,2023-06-29,24.2,63.8,33
108,서울,2023-06-30,25.3,1.0,33
108,서울,2023-07-01,27.7,,27
108,서울,2023-07-02,26.7,,21
108,서울,2023-07-03,29.1,,33
108,서울,2023-07-04,26.1,61.8,33
108,서울,2023-07-05,24.5,15.3,26
108,서울,2023-07-06,27.3,,49
108,서울,2023-07-07,26.7,,47
108,서울,2023-07-08,25.6,,13
108,서울,2023-07-10,26.3,11.5,32
108,서울,2023-07-11,23.5,58.3,20
108,서울,2023-07-12,25.8,0.7,25
108,서울,2023-07-13,25.2,91.6,24
108,서울,2023-07-14,24.6,72.7,17
108,서울,2023-07-15,24.5,2.3,22
108,서울,2023-07-16,24.6,9.7,31
108,서울,2023-07-17,25.5,1.4,27
108,서울,2023-07-18,25.2,2.3,21
108,서울,2023-07-19,27.2,,32
108,서울,2023-07-20,27.9,,56
108,서울,2023-07-21,29.5,,65
108,서울,2023-07-22,27.7,12.3,33
108,서울,2023-07-23,25.2,40.2,10
108,서울,2023-07-24,26.9,0.4,21
108,서울,2023-07-25,27.8,5.6,18
108,서울,2023-07-26,27.6,1.0,14
108,서울,2023-07-27,28.4,0.0,24
108,서울,2023-07-28,29.5,,33
108,서울,2023-07-29,29.1,,33
108,서울,2023-07-30,28.8,25.0,19
108,서울,2023-07-31,28.7,0.3,32
108,서울,2023-08-01,29.9,,31
108,서울,2023-08-02,29.7,,33
108,서울,2023-08-03,29.5,,23
108,서울,2023-08-04,30.0,,22
108,서울,2023-08-05,30.3,,20
108,서울,2023-08-06,29.8,4.9,23
108,서울,2023-08-07,30.4,,11
108,서울,2023-08-11,23.5,46.7,19
108,서울,2023-08-12,23.3,1.5,18
108,서울,2023-08-13,27.0,,29
108,서울,2023-08-14,28.1,,40
108,서울,2023-08-15,28.6,,28
108,서울,2023-08-16,27.3,0.3,21
108,서울,2023-08-17,28.2,,28
108,서울,2023-08-18,29.1,0.1,38
108,서울,2023-08-19,29.1,,26
108,서울,2023-08-20,28.3,0.0,26
108,서울,2023-08-21,29.5,0.0,25
108,서울,2023-08-22,27.6,42.6,22
108,서울,2023-08-23,24.8,41.8,10
108,서울,2023-08-24,25.1,5.2,10
108,서울,2023-08-25,26.5,0.0,20
108,서울,2023-08-26,26.4,,38
108,서울,2023-08-27,26.1,0.0,29
108,서울,2023-08-28,22.7,10.4,14
108,서울,2023-08-29,23.9,54.8,16
108,서울,2023-08-30,22.8,3.5,19
108,서울,2023-08-31,23.9,,21
108,서울,2023-09-01,24.5,,26
108,서울,2023-09-02,25.4,,30
108,서울,2023-09-03,25.8,0.1,21
108,서울,2023-09-04,27.0,0.3,20
108,서울,2023-09-05,28.5,0.0,19
108,서울,2023-09-06,27.9,,19
108,서울,2023-09-07,26.3,,18
108,서울,2023-09-09,25.8,,32
108,서울,2023-09-10,25.7,,38
108,서울,2023-09-11,25.5,,29
108,서울,2023-09-12,25.7,,31
108,서울,2023-09-13,22.1,15.9,23
108,서울,2023-09-14,23.4,,10
108,서울,2023-09-15,22.3,2.1,10
108,서울,2023-09-16,23.9,38.7,11
108,서울,2023-09-17,24.7,3.0,17
108,서울,2023-09-18,24.7,,19
108,서울,2023-09-19,24.1,,28
108,서울,2023-09-20,20.6,35.8,22
108,서울,2023-09-22,20.5,,25
108,서울,2023-09-23,21.8,,19
108,서울,2023-09-24,21.8,,13
108,서울,2023-09-25,21.6,1.9,14
108,서울,2023-09-27,21.5,4.4,12
108,서울,2023-09-28,22.7,,49
108,서울,2023-09-29,21.1,,32
108,서울,2023-09-30,19.7,4.5,29
108,서울,2023-10-01,18.4,,28
108,서울,2023-10-02,18.2,,21
108,서울,2023-10-03,17.5,,21
108,서울,2023-10-04,17.3,14.7,22
108,서울,2023-10-05,14.2,,36
108,서울,2023-10-06,15.5,,27
108,서울,2023-10-07,16.8,,24
108,서울,2023-10-08,17.1,0.0,12
108,서울,2023-10-09,17.4,1.2,16
108,서울,2023-10-10,17.1,,29
108,서울,2023-10-11,17.6,,27
108,서울,2023-10-12,17.5,,30
108,서울,2023-10-13,17.5,,38
108,서울,2023-10-14,14.7,5.8,25
