지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2023-04-01,88
108,서울,2023-04-02,52
108,서울,2023-04-03,52
108,서울,2023-04-04,32
108,서울,2023-04-06,63
108,서울,2023-04-07,93
108,서울,2023-04-08,46
108,서울,2023-04-09,67
108,서울,2023-04-10,48
108,서울,2023-04-11,68
108,서울,2023-04-12,333
108,서울,2023-04-13,226
108,서울,2023-04-14,109
108,서울,2023-04-15,61
108,서울,2023-04-16,118
108,서울,2023-04-17,117
108,서울,2023-04-18,55
108,서울,2023-04-19,44
108,서울,2023-04-20,15
108,서울,2023-04-21,64
108,서울,2023-04-22,62
108,서울,2023-04-23,59
108,서울,2023-04-24,60
108,서울,2023-04-25,31
108,서울,2023-04-26,28
108,서울,2023-04-27,43
108,서울,2023-04-28,38
108,서울,2023-04-29,25
108,서울,2023-04-30,47
108,서울,2023-05-01,54
108,서울,2023-05-02,39
108,서울,2023-05-03,47
108,서울,2023-05-04,48
108,서울,2023-05-07,36
108,서울,2023-05-08,42
108,서울,2023-05-09,57
108,서울,2023-05-10,59
108,서울,2023-05-11,51
108,서울,2023-05-12,52
108,서울,2023-05-13,38
108,서울,2023-05-14,25
108,서울,2023-05-15,38
108,서울,2023-05-16,62
108,서울,2023-05-17,37
108,서울,2023-05-18,33
108,서울,2023-05-19,24
108,서울,2023-05-20,28
108,서울,2023-05-21,89
108,서울,2023-05-22,148
108,서울,2023-05-23,67
108,서울,2023-05-24,40
108,서울,2023-05-25,37
108,서울,2023-05-26,35
108,서울,2023-05-27,26
108,서울,2023-05-28,11
108,서울,2023-05-29,19
108,서울,2023-05-30,34
108,서울,2023-05-31,31
108,서울,2023-06-01,38
108,서울,2023-06-02,29
108,서울,2023-06-03,38
108,서울,2023-06-04,39
108,서울,2023-06-05,32
108,서울,2023-06-06,22
108,서울,2023-06-07,37
108,서울,2023-06-08,22
108,서울,2023-06-10,34
108,서울,2023-06-11,24
108,서울,2023-06-12,29
108,서울,2023-06-13,27
108,서울,2023-06-14,26
108,서울,2023-06-15,30
108,서울,2023-06-16,25
108,서울,2023-06-17,21
108,서울,2023-06-18,26
108,서울,2023-06-19,50
108,서울,2023-06-20,36
108,서울,2023-06-21,11
108,서울,2023-06-22,23
108,서울,2023-06-23,33
108,서울,2023-06-24,39
108,서울,2023-06-25,32
108,서울,2023-06-26,16
108,서울,2023-06-27,18
108,서울,2023-06-28,33
108,서울,2023-06-29,33
108,서울,2023-06-30,33
108,서울,2023-07-01,27
108,서울,2023-07-02,21
108,서울,2023-07-03,33
108,서울,2023-07-04,33
108,서울,2023-07-05,26
108,서울,2023-07-06,49
108,서울,2023-07-07,47
108,서울,2023-07-08,13
108,서울,2023-07-10,32
108,서울,2023-07-11,20
108,서울,2023-07-12,25
108,서울,2023-07-13,24
108,서울,2023-07-14,17
108,서울,2023-07-15,22
108,서울,2023-07-16,31
108,서울,2023-07-17,27
108,서울,2023-07-18,21
108,서울,2023-07-19,32
108,서울,2023-07-20,56
108,서울,2023-07-21,65
108,서울,2023-07-22,33
108,서울,2023-07-23,10
108,서울,2023-07-24,21
108,서울,2023-07-25,18
108,서울,2023-07-26,14
108,서울,2023-07-27,24
108,서울,2023-07-28,33
108,서울,2023-07-29,33
108,서울,2023-07-30,19
108,서울,2023-07-31,32
108,서울,2023-08-01,31
108,서울,2023-08-02,33
108,서울,2023-08-03,23
108,서울,2023-08-04,22
108,서울,2023-08-05,20
108,서울,2023-08-06,23
108,서울,2023-08-07,11
108,서울,2023-08-11,19
108,서울,2023-08-12,18
108,서울,2023-08-13,29
108,서울,2023-08-14,40
108,서울,2023-08-15,28
108,서울,2023-08-16,21
108,서울,2023-08-17,28
108,서울,2023-08-18,38
108,서울,2023-08-19,26
108,서울,2023-08-20,26
108,서울,2023-08-21,25
108,서울,2023-08-22,22
108,서울,2023-08-23,10
108,서울,2023-08-24,10
108,서울,2023-08-25,20
108,서울,2023-08-26,38
108,서울,2023-08-27,29
108,서울,2023-08-28,14
108,서울,2023-08-29,16
108,서울,2023-08-30,19
108,서울,2023-08-31,21
108,서울,2023-09-01,26
108,서울,2023-09-02,30
108,서울,2023-09-03,21
108,서울,2023-09-04,20
108,서울,2023-09-05,19
108,서울,2023-09-06,19
108,서울,2023-09-07,18
108,서울,2023-09-09,32
108,서울,2023-09-10,38
108,서울,2023-09-11,29
108,서울,2023-09-12,31
108,서울,2023-09-13,23
108,서울,2023-09-14,10
