대여소_ID,대여_횟수,반납_횟수
ST-1062,18295,19724
ST-1063,20899,20103
ST-1064,30386,30351
ST-1065,52873,53134
ST-1067,14925,14572
ST-1069,19294,21487
ST-1249,28459,28400
ST-1250,4653,4376
ST-1251,36811,36430
ST-1252,2762,2091
ST-1253,17748,18065
ST-1254,20330,20641
ST-1338,8002,6671
ST-1351,28238,28477
ST-1352,23667,23811
ST-1402,12589,12021
ST-1506,14029,13884
ST-1507,5073,3223
ST-1508,4411,4405
ST-1509,10971,12131
ST-1510,20207,18992
ST-1511,9106,8845
ST-1512,9902,6698
ST-1514,13247,13591
ST-1515,6280,6118
ST-1517,18459,18732
ST-1518,1798,2304
ST-1519,20705,20551
ST-1520,3225,2178
ST-1645,22339,23067
ST-1646,10131,9754
ST-1647,7574,7903
ST-1676,5930,6187
ST-1688,21919,22415
ST-1689,21595,20230
ST-1694,10116,7159
ST-1695,1652,1695
ST-1708,2912,3218
ST-1709,16428,15277
ST-1710,15154,13404
ST-1711,6652,8291
ST-1712,18845,20659
ST-1713,2836,2566
ST-1714,15473,15521
ST-1715,8382,6824
ST-1718,64404,62668
ST-1727,12558,12519
ST-2018,5006,3616
ST-2020,19352,20634
ST-2022,7222,7226
ST-2023,11728,11515
ST-2024,21410,21796
ST-2025,6630,6535
ST-2026,6607,5832
ST-2027,6868,8434
ST-2028,5035,1496
ST-2029,13790,13688
ST-2031,93455,94069
ST-2032,4633,4809
ST-2033,31605,37191
ST-2034,14108,12936
ST-2035,25487,31364
ST-2036,20822,20876
ST-2037,32795,33289
ST-2040,21266,22731
ST-2041,12945,11662
ST-2042,6800,6099
ST-2044,18749,22309
ST-2045,61295,60164
ST-2046,13947,14573
ST-2047,16942,17034
ST-2048,8457,10815
ST-2049,12205,10678
ST-2050,17209,17752
ST-2052,13284,13064
ST-2054,5710,6886
ST-2056,23566,23228
ST-2057,15055,15369
ST-2058,12087,9701
ST-2059,16353,17036
ST-2399,2884,2821
ST-2411,19266,19968
ST-2412,10941,10343
ST-2419,11263,10542
ST-2476,4491,3459
ST-2477,9802,8929
ST-2478,2662,3139
ST-2479,7226,7422
ST-2480,4358,4066
ST-2481,12178,11829
ST-2482,17987,17802
ST-2483,7677,7476
ST-2484,2882,3113
ST-2486,10621,10165
ST-2487,20896,20447
ST-2488,836,957
ST-2489,9184,8886
ST-2490,8248,8408
ST-2491,13912,13605
ST-2492,2539,2462
ST-2494,3128,3182
ST-2538,15694,15577
ST-2539,1857,1416
ST-2550,12796,13876
ST-2551,4776,4551
ST-2552,6261,6287
ST-2553,4920,4937
ST-2555,9682,9582
ST-2556,3868,3881
ST-2557,32894,32696
ST-2558,6546,4480
ST-2569,13571,13970
ST-2611,11657,10881
ST-2613,9825,10114
ST-2627,3344,3591
ST-2752,4268,3231
ST-2789,10166,10480
ST-2790,3154,3102
ST-2831,8977,8646
ST-2832,12542,12115
ST-2857,12241,11749
ST-2858,14729,10722
ST-2871,33880,33527
ST-2883,10331,11162
ST-2884,10460,10525
ST-2885,5313,5753
ST-2886,11088,10726
ST-2887,3082,4213
ST-2888,16272,16637
ST-2889,14203,13744
ST-2890,7258,6735
ST-2943,15696,15963
ST-2944,8510,8538
ST-2945,14252,17038
ST-2946,4411,4467
ST-2947,3095,2774
ST-2965,15128,15046
ST-2992,8634,7211
ST-2993,21005,20832
ST-2994,8422,8009
ST-3031,6991,6752
ST-3068,9701,9945
ST-3084,18056,18243
ST-3094,27015,31595
ST-3100,9696,8839
ST-3118,4348,4973
ST-3125,6759,6398
ST-3128,15212,17722
ST-3129,12412,12374
ST-3137,4529,5388
ST-3145,10868,11182
ST-3183,921,1254
ST-3226,12616,12602
ST-3251,9323,12100
ST-3259,2037,2349
ST-3260,2721,3034
ST-3261,1975,1974
ST-3263,555,675
ST-3276,286,298
ST-3281,14,12
ST-507,1945,2077
ST-508,16852,17229
ST-509,2464,2130
ST-510,9324,9360
ST-511,5468,5705
ST-512,14304,14611
ST-513,28431,28155
ST-514,14004,14108
ST-516,18860,21234
ST-517,9082,8820
ST-518,9097,8987
ST-519,7210,7257
ST-520,9137,9403
ST-522,30423,30266
ST-523,12236,7788
ST-524,7464,7403
ST-525,13346,13659
ST-526,3550,2931
ST-528,12457,12531
ST-530,11480,10261
ST-531,3437,1954
ST-532,1546,1166
ST-533,2869,3654
ST-534,3327,3682
ST-535,2957,2942
ST-536,1197,1703
ST-538,7707,7059
ST-824,20698,21502
ST-828,9562,9529
ST-829,8368,7644
ST-831,17206,16765
ST-834,25693,26167
ST-835,24591,26034
ST-975,26543,26326
