,대여소_ID,출근대여량,출근반납량,대여-반납량_출근,차이절대값_출근,총이용량_출근,퇴근대여량,퇴근반납량,대여-반납량_퇴근,차이절대값_퇴근,총이용량_퇴근,출퇴근_총이용량,최종용도
0,ST-1062,3743,2281,1462,1462,6024,3947,5456,-1509,1509,9403,15427,주거
1,ST-1063,5029,8839,-3810,3810,13868,5795,3170,2625,2625,8965,22833,상업
2,ST-1064,3764,8489,-4725,4725,12253,9005,5562,3443,3443,14567,26820,상업
3,ST-1065,5860,5507,353,353,11367,14431,16569,-2138,2138,31000,42367,주거
4,ST-1067,3394,2906,488,488,6300,2666,3654,-988,988,6320,12620,주거
5,ST-1069,5673,3377,2296,2296,9050,3473,5300,-1827,1827,8773,17823,주거
6,ST-1249,3917,6278,-2361,2361,10195,7682,6048,1634,1634,13730,23925,상업
7,ST-1250,313,1431,-1118,1118,1744,1584,619,965,965,2203,3947,상업
8,ST-1251,6075,5345,730,730,11420,9586,9818,-232,232,19404,30824,주거
9,ST-1252,224,535,-311,311,759,459,171,288,288,630,1389,상업
10,ST-1253,6247,652,5595,5595,6899,3257,6462,-3205,3205,9719,16618,주거
11,ST-1254,4418,3223,1195,1195,7641,3960,5165,-1205,1205,9125,16766,주거
12,ST-1338,2298,667,1631,1631,2965,1283,1859,-576,576,3142,6107,주거
13,ST-1351,7208,3644,3564,3564,10852,5923,7864,-1941,1941,13787,24639,주거
14,ST-1352,6358,1513,4845,4845,7871,4304,7732,-3428,3428,12036,19907,주거
15,ST-1402,3119,1059,2060,2060,4178,1972,3116,-1144,1144,5088,9266,주거
16,ST-1506,2600,4278,-1678,1678,6878,4034,3020,1014,1014,7054,13932,상업
17,ST-1507,630,486,144,144,1116,1034,584,450,450,1618,2734,주거
18,ST-1508,1045,472,573,573,1517,902,1199,-297,297,2101,3618,주거
19,ST-1509,1935,2183,-248,248,4118,2676,2792,-116,116,5468,9586,주거
20,ST-1510,4401,2007,2394,2394,6408,4341,5618,-1277,1277,9959,16367,주거
21,ST-1511,2211,2843,-632,632,5054,1498,1463,35,35,2961,8015,상업
22,ST-1512,2146,1399,747,747,3545,2115,1629,486,486,3744,7289,주거
23,ST-1514,4170,3598,572,572,7768,1568,3020,-1452,1452,4588,12356,주거
24,ST-1515,825,1285,-460,460,2110,1530,1246,284,284,2776,4886,상업
25,ST-1517,2995,3448,-453,453,6443,4016,4034,-18,18,8050,14493,상업
26,ST-1518,115,1190,-1075,1075,1305,734,103,631,631,837,2142,상업
27,ST-1519,4562,3692,870,870,8254,4620,6364,-1744,1744,10984,19238,주거
28,ST-1520,744,303,441,441,1047,532,418,114,114,950,1997,주거
29,ST-1645,7193,903,6290,6290,8096,3332,7134,-3802,3802,10466,18562,주거
30,ST-1646,2443,1570,873,873,4013,2409,2730,-321,321,5139,9152,주거
31,ST-1647,2059,1078,981,981,3137,1272,1923,-651,651,3195,6332,주거
32,ST-1676,998,1089,-91,91,2087,1620,1737,-117,117,3357,5444,상업
33,ST-1688,881,7017,-6136,6136,7898,7922,3320,4602,4602,11242,19140,상업
34,ST-1689,2772,2866,-94,94,5638,6150,5881,269,269,12031,17669,상업
35,ST-1694,1512,860,652,652,2372,2010,1792,218,218,3802,6174,주거
36,ST-1695,186,430,-244,244,616,511,222,289,289,733,1349,상업
37,ST-1708,303,1255,-952,952,1558,943,401,542,542,1344,2902,상업
38,ST-1709,4546,4174,372,372,8720,3875,4425,-550,550,8300,17020,주거
39,ST-1710,4798,682,4116,4116,5480,2591,4559,-1968,1968,7150,12630,주거
40,ST-1711,367,2794,-2427,2427,3161,1581,103,1478,1478,1684,4845,상업
41,ST-1712,698,11208,-10510,10510,11906,7548,754,6794,6794,8302,20208,상업
42,ST-1713,464,1213,-749,749,1677,709,264,445,445,973,2650,상업
43,ST-1714,1088,2287,-1199,1199,3375,4234,4170,64,64,8404,11779,상업
44,ST-1715,2066,3897,-1831,1831,5963,2544,404,2140,2140,2948,8911,상업
45,ST-1718,23088,22913,175,175,46001,15756,13237,2519,2519,28993,74994,주거
46,ST-1727,3115,2773,342,342,5888,1954,2849,-895,895,4803,10691,주거
47,ST-2018,592,416,176,176,1008,1411,1030,381,381,2441,3449,주거
48,ST-2020,3084,4764,-1680,1680,7848,4621,4867,-246,246,9488,17336,상업
49,ST-2022,1903,670,1233,1233,2573,1394,1903,-509,509,3297,5870,주거
50,ST-2023,3381,617,2764,2764,3998,2443,3996,-1553,1553,6439,10437,주거
51,ST-2024,1911,5299,-3388,3388,7210,5896,4199,1697,1697,10095,17305,상업
52,ST-2025,1139,364,775,775,1503,1256,1789,-533,533,3045,4548,주거
53,ST-2026,1353,615,738,738,1968,1518,1681,-163,163,3199,5167,주거
54,ST-2027,1939,433,1506,1506,2372,1033,2353,-1320,1320,3386,5758,주거
55,ST-2028,740,92,648,648,832,925,341,584,584,1266,2098,주거
56,ST-2029,4896,889,4007,4007,5785,1930,4397,-2467,2467,6327,12112,주거
57,ST-2031,18661,22323,-3662,3662,40984,27533,22552,4981,4981,50085,91069,상업
58,ST-2032,203,2713,-2510,2510,2916,2124,296,1828,1828,2420,5336,상업
59,ST-2033,927,17721,-16794,16794,18648,14171,3574,10597,10597,17745,36393,상업
60,ST-2034,4387,1333,3054,3054,5720,2036,3944,-1908,1908,5980,11700,주거
61,ST-2035,1306,13073,-11767,11767,14379,10752,3553,7199,7199,14305,28684,상업
62,ST-2036,3399,4690,-1291,1291,8089,5542,4764,778,778,10306,18395,상업
63,ST-2037,7917,6576,1341,1341,14493,7707,8706,-999,999,16413,30906,주거
64,ST-2040,3231,5573,-2342,2342,8804,5780,4998,782,782,10778,19582,상업
65,ST-2041,3677,2774,903,903,6451,2794,2597,197,197,5391,11842,상업
66,ST-2042,681,1402,-721,721,2083,1683,1055,628,628,2738,4821,상업
67,ST-2044,1911,11044,-9133,9133,12955,6995,1434,5561,5561,8429,21384,상업
68,ST-2045,11496,9759,1737,1737,21255,17682,22046,-4364,4364,39728,60983,주거
69,ST-2046,943,4880,-3937,3937,5823,4878,2326,2552,2552,7204,13027,상업
70,ST-2047,1417,2843,-1426,1426,4260,4409,4339,70,70,8748,13008,상업
71,ST-2048,1904,5247,-3343,3343,7151,1258,1498,-240,240,2756,9907,주거
72,ST-2049,4127,590,3537,3537,4717,1705,3384,-1679,1679,5089,9806,주거
73,ST-2050,8593,806,7787,7787,9399,2765,7986,-5221,5221,10751,20150,주거
74,ST-2052,2367,3504,-1137,1137,5871,3187,2225,962,962,5412,11283,상업
75,ST-2054,794,715,79,79,1509,1010,1676,-666,666,2686,4195,주거
